,case_number,year,type,country,species_,date,mes,fatal,sexo,especie_cat,age
474,2007.07.18.b,2007,Unprovoked,usa,2' to 3' shark,18-Jul-2007,Jul,n,M,Unspecified,14.0
475,2007.07.17.b,2007,Invalid,usa,Shark involvement not confirmed,17-Jul-2007,Jul,Unknown,F,Unspecified,43.0
476,2007.07.17.a,2007,Unprovoked,usa,5' shark,17-Jul-2007,Jul,n,F,Unspecified,30.0
477,2007.07.10,2007,Unprovoked,bahamas,"Bull shark, 5' ",10-Jul-2007,Jul,n,F,Bull,48.0
478,2007.06.25,2007,Unprovoked,usa,4' shark,25-Jun-2007,Jun,n,M,Unspecified,20.0
479,2007.06.17,2007,Invalid,usa,Shark involvement not confirmed,17-Jun-2007,Jun,Unknown,F,Unspecified,9.0
480,2007.05.24,2007,Provoked,usa,A 10-year-old 94-pound pregnant blacktip reef shark,24-May-2007,May,n,F,Unspecified,40.0
481,2007.05.17.R,2007,Provoked,england,"Lesser spotted dogfish, Scyliorhinus canicula, less than 80 cm in length",Reported 17-May-2007,ReportedMay,n,M,Unspecified,38.0
482,2007.05.16,2007,Unprovoked,australia,2.5 m shark,16-May-2007,May,n,F,Unspecified,38.0
483,2007.05.12,2007,Unprovoked,australia,10' shark,12-May-2007,May,n,M,Unspecified,19.0
484,2007.05.10,2007,Unprovoked,usa,4' to 5' shark,10-May-2007,May,n,F,Unspecified,21.0
485,2007.05.08,2007,Invalid,australia,Shark involvement prior to death was not confirmed,08-May-2007,May,Unknown,M,Unspecified,45.0
486,2007.05.07.b,2007,Unprovoked,usa,"Tiger shark, 14' ",07-May-2007,May,n,F,Tiger,63.0
487,2007.05.07.a,2007,Unprovoked,usa,6' to 8' shark,07-May-2007,May,n,M,Unspecified,25.0
488,2007.04.26,2007,Unprovoked,australia,"""a small shark""",26-Apr-2007,Apr,n,F,Unspecified,13.0
489,2007.04.22,2007,Unprovoked,usa,blacktip or spinner shark,22-Apr-2007,Apr,n,M,Unspecified,12.0
490,2007.04.20,2007,Unprovoked,usa,3' to 4' shark,20-Apr-2007,Apr,n,M,Unspecified,24.0
491,2007.04.09,2007,Unprovoked,new caledonia,Tiger shark,09-Apr-2007,Apr,n,M,Tiger,26.0
492,2007.03.31.b,2007,Unprovoked,usa,3' shark,31-Mar-2007,Mar,n,M,Unspecified,27.0
493,2007.03.21,2007,Unprovoked,usa,4' to 5' shark,21-Mar-2007,Mar,n,M,Unspecified,11.0
494,2007.03.20,2007,Unprovoked,australia,1.5 m shark,20-Mar-2007,Mar,n,F,Unspecified,42.0
495,2007.03.12,2007,Unprovoked,australia,2 to 2.5 m shark,12-Mar-2007,Mar,n,F,Unspecified,59.0
496,2007.01.25.b,2007,Unprovoked,new caledonia,Tiger shark,25-Jan-2007,Jan,n,M,Tiger,30.0
497,2007.01.23,2007,Unprovoked,australia,"White shark, 3m",23-Jan-2007,Jan,n,M,White,41.0
498,2007.01.14,2007,Unprovoked,south africa,Tiger shark,14-Jan-2007,Jan,y,M,Tiger,24.0
499,2007.01.07,2007,Invalid,usa,"24"" to 30"" shark",07-Jan-2007,Jan,Unknown,M,Unspecified,54.0
500,2007.01.05,2007,Unprovoked,usa,"6' to 8' shark, possibly a tiger shark",01-Jan-2007,Jan,n,M,Tiger,24.0
501,2006.12.18,2006,Unprovoked,australia,2.5 to 3 m shark,18-Dec-2006,Dec,n,M,Unspecified,25.0
502,2006.12.11,2006,Unprovoked,new zealand,2 to 3 m shark,11-Dec-2006,Dec,n,M,Unspecified,10.0
503,2006.12.10,2006,Unprovoked,usa,"White shark, 12' to 15' ",10-Dec-2006,Dec,n,M,White,43.0
504,2006.12.06,2006,Provoked,south africa,"Raggedtooth shark, 150-kg",06-Dec-2006,Dec,n,M,Unspecified,25.0
505,2006.12.02,2006,Unprovoked,australia,"White shark, 5m ",02-Dec-2006,Dec,n,M,White,15.0
506,2006.11.11,2006,Unprovoked,usa,2 m to 3 m shark,11-Nov-2006,Nov,n,M,Unspecified,29.0
507,2006.10.31,2006,Unprovoked,usa,"White shark, 16' ",31-Oct-2006,Oct,n,M,White,22.0
508,2006.10.05,2006,Unprovoked,usa,3' to 3.5' shark,05-Oct-2006,Oct,n,M,Unspecified,18.0
509,2006.09.14,2006,Unprovoked,usa,Spinner shark,14-Sep-2006,Sep,n,M,Unspecified,55.0
510,2006.09.04,2006,Invalid,australia,No shark involvement,04-Sep-2006,Sep,Unknown,M,Unspecified,44.0
511,2006.09.03.a,2006,Unprovoked,usa,3' shark,03-Sep-2006,Sep,n,M,Unspecified,33.0
512,2006.08.13,2006,Unprovoked,south africa,White shark,13-Aug-2006,Aug,n,M,White,24.0
513,2006.07.31.a,2006,Unprovoked,usa,White shark?,31-Jul-2006,Jul,n,M,White,41.0
514,2006.07.28,2006,Unprovoked,south africa,"White shark, 3m to 4m",28-Jul-2006,Jul,n,M,White,19.0
515,2006.07.25,2006,Unprovoked,usa, ,25-Jul-2006,Jul,n,M,Unspecified,14.0
516,2006.07.17,2006,Unprovoked,usa,"Angel shark, 1.2m ",17-Jul-2006,Jul,n,M,Unspecified,49.0
517,2006.07.08.b,2006,Unprovoked,usa,5' to 6' spinner or bull shark,08-Jul-2006,Jul,n,F,Bull,14.0
518,2006.06.20,2006,Unprovoked,usa,Possibly a 1' to 3' blacktip or spinner shark,20-Jun-2006,Jun,n,F,Unspecified,22.0
519,2006.06.15,2006,Unprovoked,usa,2' to 3' shark,15-Jun-2006,Jun,n,M,Unspecified,24.0
520,2006.06.07,2006,Unprovoked,usa,3' to 4' shark,07-Jun-2006,Jun,n,F,Unspecified,7.0
521,2006.06.05,2006,Unprovoked,australia,14' white shark,05-Jun-2006,Jun,n,M,White,40.0
522,2006.05.31,2006,Unprovoked,usa,"Tiger shark, 8' to 12'",31-May-2006,May,n,M,Tiger,26.0
523,2006.05.24,2006,Provoked,usa,"Grey reef shark, 5' to 8' ",24-May-2006,May,n,M,Grey,15.0
524,2006.05.19,2006,Unprovoked,usa,"Tiger shark, 10' to 12'",19-May-2006,May,n,F,Tiger,30.0
525,2006.05.02,2006,Provoked,australia,"Wobbegong shark, 2 m ",02-May-2006,May,n,M,Unspecified,46.0
526,2006.04.13,2006,Provoked,usa,"Bull shark, 4' to bull shark",13-Apr-2006,Apr,n,M,Bull,35.0
527,2006.04.11,2006,Unprovoked,australia,"Bronze whaler shark, a  juvenile ",11-Apr-2006,Apr,n,M,Unspecified,15.0
528,2006.04.09.b,2006,Unprovoked,south africa,"Raggedtooth shark, 2.5 m to 3 m ",09-Apr-2006,Apr,n,M,Unspecified,15.0
529,2006.04.09.a,2006,Unprovoked,brazil,Tiger shark,09-Apr-2006,Apr,n,M,Tiger,35.0
530,2006.03.23,2006,Unprovoked,usa,"Tiger shark, 10'  ",23-Mar-2006,Mar,n,F,Tiger,28.0
531,2006.03.19,2006,Unprovoked,fiji,"Tiger shark, 5' ",18-Mar-2006,Mar,n,M,Tiger,21.0
532,2006.03.15,2006,Unprovoked,australia,"Bronze whaler shark, 2 m",15-Mar-2006,Mar,n,M,Unspecified,15.0
533,2006.02.27,2006,Unprovoked,usa,5' to 7' shark,27-Feb-2006,Feb,n,F,Unspecified,15.0
534,2006.02.23,2006,Invalid,usa,Invalid,23-Feb-2006,Feb,Unknown,M,Unspecified,45.0
535,2006.02.08,2006,Unprovoked,south africa,Raggedtooth shark,08-Feb-2006,Feb,n,M,Unspecified,15.0
536,2006.02.01.b,2006,Unprovoked,tonga,Tiger shark,01-Feb-2006,Feb,y,F,Tiger,24.0
537,2006.02.01.a,2006,Boating,usa,12' to 18' shark,01-Feb-2006,Feb,n,M,Unspecified,57.0
538,2006.01.15,2006,Unprovoked,australia,3.5 m white shark,15-Jan-2006,Jan,n,M,White,52.0
539,2006.01.07,2006,Unprovoked,australia,Bull shark,07-Jan-2006,Jan,y,F,Bull,21.0
540,2006.01.04,2006,Unprovoked,usa,4' shark,04-Jan-2006,Jan,n,M,Unspecified,21.0
541,2005.12.24,2005,Unprovoked,usa,White shark,24-Dec-2005,Dec,n,M,White,30.0
542,2005.12.21,2005,Unprovoked,usa,Tiger shark,21-Dec-2005,Dec,n,M,Tiger,29.0
543,2005.12.11,2005,Unprovoked,australia,Whitetip reef shark,11-Dec-2005,Dec,n,M,White,44.0
544,2005.11.27,2005,Unprovoked,usa,4' shark,27-Nov-2005,Nov,n,M,Unspecified,23.0
545,2005.11.25.b,2005,Unprovoked,australia,1.8 m shark,25-Nov-2005,Nov,n,M,Unspecified,18.0
546,2005.11.21,2005,Unprovoked,usa,4' shark,21-Nov-2005,Nov,n,M,Unspecified,30.0
547,2005.11.15,2005,Provoked,south africa,"Raggedtooth shark, 2.5m ",15-Nov-2005,Nov,n,M,Unspecified,32.0
548,2005.11.12,2005,Unprovoked,usa,6' shark,12-Nov-2005,Nov,n,M,Unspecified,18.0
549,2005.11.02.a,2005,Unprovoked,usa,12' to 14' white shark,02-Nov-2005,Nov,n,M,White,26.0
550,2005.10.25,2005,Unprovoked,st. maartin,2' shark,25-Oct-2005,Oct,n,M,Unspecified,55.0
551,2005.10.22,2005,Unprovoked,south africa,3 m shark,22-Oct-2005,Oct,n,M,Unspecified,20.0
552,2005.10.21,2005,Unprovoked,usa,White shark,21-Oct-2005,Oct,n,M,White,36.0
553,2005.10.19,2005,Unprovoked,usa,18' white shark,19-Oct-2005,Oct,n,F,White,20.0
554,2005.10.13,2005,Unprovoked,usa,"Tiger shark, less than 10'",13-Oct-2005,Oct,n,M,Tiger,22.0
555,2005.10.11,2005,Unprovoked,grand cayman,Caribbean reef sharks,11-Oct-2005,Oct,n,F,Unspecified,57.0
556,2005.10.01,2005,Unprovoked,south africa,White shark,01-Oct-2005,Oct,n,M,White,52.0
557,2005.09.24,2005,Unprovoked,australia,14' to 16' white shark,24-Sep-2005,Sep,n,M,White,26.0
558,2005.09.23,2005,Unprovoked,australia,Bronze whaler shark,23-Sep-2005,Sep,n,M,Unspecified,44.0
559,2005.09.20,2005,Unprovoked,usa,3' to 4' shark,20-Sep-2005,Sep,n,F,Unspecified,25.0
560,2005.09.05,2005,Unprovoked,usa,Bull shark,05-Sep-2005,Sep,n,F,Bull,18.0
561,2005.09.04.a,2005,Unprovoked,australia,4 m [13'] white shark,04-Sep-2005,Sep,n,M,White,40.0
562,2005.08.24.b,2005,Unprovoked,australia,White shark,24-Aug-2005,Aug,y,M,White,23.0
563,2005.08.24.a,2005,Unprovoked,usa,juvenile white shark,24-Aug-2005,Aug,n,M,White,37.0
564,2005.08.22,2005,Invalid,usa,Shark involvement not confirmed,22-Aug-2005,Aug,Unknown,M,Unspecified,17.0
565,2005.08.21,2005,Unprovoked,usa,Possibly a sandbar shark or small blacktip shark,21-Aug-2005,Aug,n,M,Unspecified,8.0
566,2005.08.12,2005,Unprovoked,usa,1.8 m [6'] shark,12-Aug-2005,Aug,n,M,Unspecified,16.0
567,2005.07.22,2005,Invalid,usa,Shark involvement not confirmed,22-Jul-2005,Jul,Unknown,M,Unspecified,25.0
568,2005.07.15,2005,Unprovoked,usa,[4.5' to 5'] shark,15-Jul-2005,Jul,n,M,Unspecified,22.0
569,2005.07.13,2005,Unprovoked,usa,[4' to 5'],13-Jul-2005,Jul,n,F,Unspecified,14.0
570,2005.06.27,2005,Unprovoked,usa,Bull shark,27-Jun-2005,Jun,n,M,Bull,16.0
571,2005.06.25,2005,Unprovoked,usa,1.8 m [6'] bull shark,25-Jun-2005,Jun,y,F,Bull,14.0
572,2005.06.22,2005,Unprovoked,vanuatu,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha",22-Jun-2005,Jun,y,F,Unspecified,7.0
573,2005.06.18,2005,Invalid,usa,Invalid,18-Jun-2005,Jun,Unknown,M,Unspecified,49.0
574,2005.06.16,2005,Unprovoked,usa,"Unknown, but it was reported that a shark tooth was recovered from the wound",16-Jun-2005,Jun,n,M,Unspecified,20.0
575,2005.06.05,2005,Invalid,usa,"Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident",05-Jun-2005,Jun,Unknown,M,White,17.0
576,2005.06.04,2005,Unprovoked,south africa,White shark,04-Jun-2005,Jun,y,M,White,22.0
577,2005.05.28,2005,Unprovoked,usa,"""small shark""",28-May-2005,May,n,M,Unspecified,33.0
578,2005.05.25,2005,Unprovoked,south africa,Raggedtooth shark,25-May-2005,May,n,M,Unspecified,32.0
579,2005.05.02,2005,Unprovoked,usa,"Tiger shark, 3 m [10']",02-May-2005,May,n,M,Tiger,47.0
580,2005.04.25,2005,Provoked,australia,"Mako shark, 1.5 m [5'] ",25-Apr-2005,Apr,n,M,Unspecified,25.0
581,2005.04.16.a,2005,Unprovoked,australia,Bronze whaler shark,16-Apr-2005,Apr,n,M,Unspecified,40.0
582,2005.03.28,2005,Unprovoked,south africa,4 m [13'] shark,28-Mar-2005,Mar,n,M,Unspecified,32.0
583,2005.03.19,2005,Unprovoked,australia,6 m [20'] white shark,19-Mar-2005,Mar,y,M,White,26.0
584,2005.03.12,2005,Provoked,usa,"Sandtiger shark, 2.1 m [7'] ",12-Mar-2005,Mar,n,M,Tiger,45.0
585,2005.01.08,2005,Boating,new zealand,White shark,08-Jan-2005,Jan,n,M,White,39.0
586,2004.12.16,2004,Unprovoked,australia,4.5 m & 5 m white shark ,16-Dec-2004,Dec,y,M,White,18.0
587,2004.12.11,2004,Unprovoked,australia,Bull shark,11-Dec-2004,Dec,y,M,Bull,38.0
588,2004.11.27,2004,Unprovoked,south africa,Raggedtooth shark,27-Nov-2004,Nov,n,M,Unspecified,20.0
589,2004.11.15,2004,Unprovoked,south africa,6 m [20'] white shark,15-Nov-2004,Nov,y,F,White,25.0
590,2004.11.11.b,2004,Unprovoked,usa,5.5 m [18'] white shark,11-Nov-2004,Nov,n,F,White,38.0
591,2004.10.31,2004,Unprovoked,cuba,2.5 m [8.25'] bull shark,31-Oct-2004,Oct,n,M,Bull,40.0
592,2004.10.30.a,2004,Unprovoked,south africa,2 m [6.75'] white shark,30-Oct-2004,Oct,n,M,White,52.0
593,2004.10.21,2004,Unprovoked,australia,"Bronze whaler shark, 2.4 m [8'] ",21-Oct-2004,Oct,n,M,Unspecified,59.0
594,2004.10.09.b,2004,Unprovoked,usa,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] ",09-Oct-2004,Oct,n,M,Tiger,34.0
595,2004.10.09.a,2004,Unprovoked,south africa,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']",09-Oct-2004,Oct,n,M,Unspecified,34.0
596,2004.10.06,2004,Unprovoked,reunion,Thought to involve a 2.5 m bull or tiger shark,06-Oct-2004,Oct,n,M,Tiger,15.0
597,2004.09.20,2004,Unprovoked,usa,White shark,20-Sep-2004,Sep,n,M,White,26.0
598,2004.09.04,2004,Unprovoked,usa,2.4 m [8'] shark,04-Sep-2004,Sep,n,F,Unspecified,17.0
599,2004.08.21,2004,Unprovoked,brazil,"Tiger shark, 1.5 m ",21-Aug-2004,Aug,n,M,Tiger,24.0
600,2004.08.15,2004,Unprovoked,usa,4.9 m to 5.5 m [16' to 18'] white shark,15-Aug-2004,Aug,y,M,White,50.0
601,2004.08.06,2004,Unprovoked,usa,1.2 m [4'] shark,06-Aug-2004,Aug,n,M,Unspecified,47.0
602,2004.07.27.b,2004,Unprovoked,usa,1.8 m [6'] shark,27-Jul-2004,Jul,n,F,Unspecified,13.0
603,2004.07.27.a,2004,Unprovoked,usa,1.2 m to 1.5 m [4' to 5'] shark,27-Jul-2004,Jul,n,F,Unspecified,19.0
604,2004.07.25,2004,Unprovoked,usa,Bull shark,25-Jul-2004,Jul,n,M,Bull,11.0
605,2004.07.10,2004,Unprovoked,australia,"2 sharks, 4.5 m & 3 m ",10-Jul-2004,Jul,y,M,Unspecified,30.0
606,2004.07.02.a,2004,Unprovoked,usa,4' to 5' shark,02-Jul-2004,Jul,n,M,Unspecified,7.0
607,2004.06.26.b,2004,Unprovoked,usa,"9'2"" white shark",26-Jun-2004,Jun,n,M,White,45.0
608,2004.06.10.b,2004,Unprovoked,australia,"Bronze whaler shark, 2.5 m [8.25'] ",10-Jun-2004,Jun,n,M,Unspecified,17.0
609,2004.06.10.a,2004,Unprovoked,usa,1.2 m [4'] shark,10-Jun-2004,Jun,n,M,Unspecified,8.0
610,2004.06.02,2004,Unprovoked,south africa,White shark,02-Jun-2004,Jun,y,M,White,21.0
611,2004.05.29,2004,Unprovoked,usa,0.9 m to 1.5 m [3' to 5'] shark,29-May-2004,May,n,M,Unspecified,16.0
612,2004.05.23.b,2004,Unprovoked,brazil,Bull shark,23-May-2004,May,n,M,Bull,17.0
613,2004.05.28,2004,Unprovoked,usa,2.4 m to 3.7 m [8' to 12'] shark,28-May-2004,May,n,M,Unspecified,44.0
614,2004.05.18,2004,Provoked,bahamas,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)",18-May-2004,May,n,M,Unspecified,63.0
615,2004.05.04,2004,Unprovoked,usa,"Mako shark, 1.8 m [6']",04-May-2004,May,n,M,Unspecified,28.0
616,2004.04.07,2004,Unprovoked,usa,Tiger shark,07-Apr-2004,Apr,y,M,Tiger,57.0
617,2004.04.05,2004,Unprovoked,south africa,5 m [16.5'] white shark,05-Apr-2004,Apr,n,M,White,16.0
618,2004.03.31.a,2004,Unprovoked,usa,1.2 m [4'] bull shark,31-Mar-2004,Mar,n,M,Bull,20.0
619,2004.03.29,2004,Unprovoked,brazil,bull shark,29-Mar-2004,Mar,n,M,Bull,22.0
620,2004.03.27.b,2004,Unprovoked,reunion,2.5 m shark,27-Mar-2004,Mar,n,M,Unspecified,20.0
621,2004.03.16,2004,Unprovoked,usa,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",16-Mar-2004,Mar,n,M,Tiger,51.0
622,2004.02.26,2004,Unprovoked,new zealand,2 m [6.75'] sevengill  shark,26-Feb-2004,Feb,n,M,Unspecified,15.0
623,2004.02.16,2004,Invalid,australia,Shark involvement not confirmed,16-Feb-2004,Feb,Unknown,M,Unspecified,31.0
624,2004.01.25,2004,Unprovoked,australia,4 m to 5 m [13' to 16.5'] white shark,25-Jan-2004,Jan,n,M,White,46.0
625,2004.01.21.a,2004,Unprovoked,venezuela,"Bull shark, 132-kg [291-lb] ",21-Jan-2004,Jan,n,M,Bull,40.0
626,2003.11.27,2003,Unprovoked,south africa,"Tiger shark, 4 m [13']  ?",27-Nov-2003,Nov,y,M,Tiger,21.0
627,2003.11.22,2003,Unprovoked,usa,4' shark,22-Nov-2003,Nov,n,F,Unspecified,35.0
628,2003.10.31.c,2003,Unprovoked,usa,1.2 m to 1.5 m [4' to 5'] shark,31-Oct-2003,Oct,n,M,Unspecified,18.0
629,2003.10.31.b,2003,Unprovoked,australia,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark",31-Oct-2003,Oct,n,M,Grey,22.0
630,2003.10.31.a,2003,Unprovoked,usa,"Tiger shark, 14' ",31-Oct-2003,Oct,n,F,Tiger,13.0
631,2003.10.24,2003,Invalid,usa,Shark involvement not confirmed,24-Oct-2003,Oct,Unknown,M,Unspecified,56.0
632,2003.10.14,2003,Unprovoked,usa,1.2 m [4'] shark,14-Oct-2003,Oct,n,M,Unspecified,19.0
633,2003.10.05.a,2003,Unprovoked,usa,"1.2 m [4'] ""grey-colored shark""",05-Oct-2003,Oct,n,F,Grey,41.0
634,2003.09.14.c,2003,Unprovoked,usa,3' shark,14-Sep-2003,Sep,n,M,Unspecified,30.0
635,2003.09.14.a,2003,Invalid,usa,Shark involvement doubtful,14-Sep-2003,Sep,Unknown,F,Unspecified,8.0
636,2003.09.13.b,2003,Unprovoked,usa,6' shark,13-Sep-2003,Sep,n,M,Unspecified,18.0
637,2003.09.13.a,2003,Unprovoked,usa,7' shark,13-Sep-2003,Sep,n,M,Unspecified,15.0
638,2003.09.12,2003,Unprovoked,south africa,White shark,12-Sep-2003,Sep,y,M,White,19.0
639,2003.08.19,2003,Unprovoked,usa,4.5 m to 5.5 m [15' to 18'] white shark,19-Aug-2003,Aug,y,F,White,50.0
640,2003.08.12,2003,Invalid,usa,Shark involvement not confirmed,12-Aug-2003,Aug,Unknown,M,Unspecified,31.0
641,2003.08.08,2003,Unprovoked,south africa,3.5 m [11.5'] white shark,08-Aug-2003,Aug,n,M,White,16.0
642,2003.07.09,2003,Unprovoked,bahamas,Unidentified species,10-Jul-2003,Jul,n,M,Unspecified,58.0
643,2003.07.05.b,2003,Provoked,usa,2' shark,05-Jul-2003,Jul,n,M,Unspecified,10.0
644,2003.07.04,2003,Unprovoked,bahamas,2.1 m  [7'] bull shark,04-Jul-2003,Jul,n,M,Bull,39.0
645,2003.06.30,2003,Unprovoked,usa,Unidentified species,30-Jun-2003,Jun,n,M,Unspecified,17.0
646,2003.06.26,2003,Unprovoked,usa,106 cm [3.5']  shark,26-Jun-2003,Jun,n,M,Unspecified,15.0
647,2003.06.24.b,2003,Unprovoked,usa,small brown shark,24-Jun-2003,Jun,n,F,Unspecified,12.0
648,2003.06.24.a,2003,Unprovoked,usa,3.7 m to 4.3 m [12' to 14'] shark,24-Jun-2003,Jun,n,M,Unspecified,60.0
649,2003.06.19,2003,Unprovoked,usa,"""sand shark""",19-Jun-2003,Jun,n,M,Unspecified,33.0
650,2003.05.14,2003,Unprovoked,usa,3' to 5' shark,14-May-2003,May,n,M,Unspecified,22.0
651,2003.05.10,2003,Unprovoked,usa,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark,10-May-2003,May,n,M,Grey,20.0
652,2003.05.07,2003,Provoked,usa,4' to 5' shark,07-May-2003,May,n,M,Unspecified,34.0
653,2003.04.23.b,2003,Unprovoked,brazil,Bull shark,23-Apr-2003,Apr,n,M,Bull,17.0
654,2003.04.21.b,2003,Unprovoked,usa,Unidentified species,21-Apr-2003,Apr,n,M,Unspecified,36.0
655,2003.04.21.a,2003,Unprovoked,usa,Unidentified species,21-Apr-2003,Apr,n,M,Unspecified,17.0
656,2003.04.20.c,2003,Unprovoked,usa,Unidentified species,20-Apr-2003,Apr,n,M,Unspecified,30.0
657,2003.04.20.b,2003,Unprovoked,usa,0.9 m to 1.2 m [3' to 4'] shark,20-Apr-2003,Apr,n,M,Unspecified,23.0
658,2003.04.20.a,2003,Unprovoked,usa,Unidentified species,20-Apr-2003,Apr,n,M,Unspecified,18.0
659,2003.04.19,2003,Unprovoked,usa,A small shark,19-Apr-2003,Apr,n,M,Unspecified,11.0
660,2003.04.18,2003,Unprovoked,usa,Unidentified species,18-Apr-2003,Apr,n,M,Unspecified,12.0
661,2003.04.15,2003,Unprovoked,usa,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee",15-Apr-2003,Apr,n,M,Unspecified,20.0
662,2003.04.11,2003,Unprovoked,venezuela,"Mako shark, 3 m [10']",11-Apr-2003,Apr,n,M,Unspecified,28.0
663,2003.04.04,2003,Unprovoked,usa,4' to 5' shark,04-Apr-2003,Apr,n,M,Unspecified,50.0
664,2003.02.27,2003,Unprovoked,new zealand,2.5 m [8.25'] white shark,27-Feb-2003,Feb,n,M,White,44.0
665,2003.02.15.b,2003,Unprovoked,australia,"""a small shark""",15-Feb-2003,Feb,n,M,Unspecified,37.0
666,2003.02.15.a,2003,Unprovoked,usa,Species unidentified,15-Feb-2003,Feb,n,M,Unspecified,54.0
667,2003.02.11,2003,Unprovoked,australia,Thought to involve a 2 m [6.75'] grey nurse shark,11-Feb-2003,Feb,n,M,Grey,24.0
668,2003.02.08,2003,Unprovoked,australia,Thought to involve a >2 m [6.75'] bull shark,08-Feb-2003,Feb,y,M,Bull,25.0
669,2003.01.17,2003,Invalid,south africa,Shark involvement prior to death was not confirmed,17-Jan-2003,Jan,Unknown,M,Unspecified,14.0
670,2002.12.24,2002,Unprovoked,south africa,"White shark, 4 m white shark",24-Dec-2002,Dec,n,M,White,25.0
671,2002.12.16,2002,Unprovoked,australia,Bull shark,16-Dec-2002,Dec,y,M,Bull,23.0
672,2002.11.28.a,2002,Unprovoked,usa,3 m to 4.5 m [10' to 15'] white shark,28-Nov-2002,Nov,n,M,White,48.0
673,2002.11.17,2002,Unprovoked,usa,2.4 m to 3 m [8' to 10'] grey colored shark,17-Nov-2002,Nov,n,F,Grey,34.0
674,2002.11.14,2002,Unprovoked,turks & caicos,1.8 m to 2.1 m [6' to 7']  Caribbean Reef Shark ,14-Nov-2002,Nov,n,F,Unspecified,41.0
675,2002.11.11,2002,Unprovoked,usa,6' shark,11-Nov-2002,Nov,n,M,Unspecified,21.0
676,2002.11.02,2002,Unprovoked,usa,3' to 4' shark,02-Nov-2002,Nov,n,M,Unspecified,16.0
677,2002.10.30,2002,Unprovoked,usa,A small shark,30-Oct-2002,Oct,n,F,Unspecified,60.0
678,2002.10.14,2002,Unprovoked,brazil,Possibly a bull shark or tiger shark,14-Oct-2002,Oct,y,M,Tiger,36.0
679,2002.10.05.b,2002,Unprovoked,usa,Blacktip or spinner shark,05-Oct-2002,Oct,n,M,Unspecified,14.0
680,2002.10.05.a,2002,Unprovoked,usa,3.5' to 4.5' shark,05-Oct-2002,Oct,n,M,Unspecified,35.0
681,2002.10.03,2002,Unprovoked,usa,3.5' to 4' shark,03-Oct-2002,Oct,n,M,Unspecified,18.0
682,2002.09.30,2002,Unprovoked,usa,4' to 5' shark,30-Sep-2002,Sep,n,M,Unspecified,47.0
683,2002.09.27.c,2002,Unprovoked,usa,1.2 m [4'] blacktip shark,27-Sep-2002,Sep,n,M,Unspecified,55.0
684,2002.09.27.b,2002,Provoked,usa,1.8 m [6'] blacktip shark,27-Sep-2002,Sep,n,M,Unspecified,28.0
685,2002.09.27.a,2002,Provoked,tonga,"Tiger shark, 1.5 m [5']k",27-Sep-2002,Sep,n,M,Tiger,28.0
686,2002.09.21.b,2002,Unprovoked,usa,2.4 m [8'] shark,21-Sep-2002,Sep,n,M,Unspecified,24.0
687,2002.09.21.a,2002,Unprovoked,usa,3 m to 3.7 m [10' to 12'] shark,21-Sep-2002,Sep,n,M,Unspecified,35.0
688,2002.09.16.b,2002,Unprovoked,brazil,Bull or tiger shark,16-Sep-2002,Sep,n,M,Tiger,19.0
689,2002.09.13,2002,Unprovoked,south africa,White shark,13-Sep-2002,Sep,n,M,White,47.0
690,2002.09.09,2002,Unprovoked,usa,4' to 6' shark,09-Sep-2002,Sep,n,M,Unspecified,20.0
691,2002.09.05,2002,Provoked,usa,1' to 2' hammerhead or bonnethed shark,05-Sep-2002,Sep,n,M,Unspecified,36.0
692,2002.08.28,2002,Unprovoked,usa,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",28-Aug-2002,Aug,n,M,Tiger,16.0
693,2002.08.14,2002,Unprovoked,usa,0.9 m  to 1.2 m [3' to 4'] shark,14-Aug-2002,Aug,n,M,Unspecified,27.0
694,2002.08.11,2002,Unprovoked,usa,"Nurse shark, 1.5 m [5'] ",11-Aug-2002,Aug,n,M,Unspecified,15.0
695,2002.08.05,2002,Unprovoked,usa,1.2 m to 1.5 m [4' to 5'] shark,05-Aug-2002,Aug,n,M,Unspecified,14.0
696,2002.07.26,2002,Unprovoked,usa,1.2 m [4'] blacktip or sandbar shark,26-Jul-2002,Jul,n,M,Unspecified,13.0
697,2002.07.20,2002,Unprovoked,usa,"Bull shark, 1.8 m to 2.1 m [6' to 7'] ",20-Jul-2002,Jul,n,F,Bull,15.0
698,2002.07.09.b,2002,Provoked,usa,"Mako shark, 400-lb ",09-Jul-2002,Jul,y,M,Unspecified,41.0
699,2002.07.09.a,2002,Unprovoked,brazil,Bull or tiger shark,10-Jul-2002,Jul,n,M,Tiger,22.0
