,case_number,year,type,country,species_,date,mes,fatal,sexo,especie_cat,age
23,2017.10.09,2017,Unprovoked,usa,"Tiger shark, 8 to 10 feet",09-Oct-2017,Oct,n,M,Tiger,54.0
24,2017.10.05,2017,Unprovoked,usa,8' shark,05-Oct-2017,Oct,n,F,Unspecified,40.0
25,2017.09.24.b,2017,Invalid,usa,Questionable,24-Sep-2017,Sep,Unknown,M,Unspecified,33.0
26,2017.09.13,2017,Unprovoked,usa,5' to 6' shark,13-Sep-2017,Sep,n,M,Unspecified,18.0
27,2017.09.10.a,2017,Unprovoked,australia,"White shark, 3 to 3.5m ",10-Sep-2017,Sep,n,M,White,35.0
28,2017.08.29,2017,Unprovoked,australia,"White shark, 3 m",29-Aug-2017,Aug,n,M,White,37.0
29,2017.08.26.b,2017,Invalid,spain,Shark involvement questionable,26-Aug-2017,Aug,Unknown,F,Unspecified,11.0
30,2017.08.23,2017,Unprovoked,usa,"White shark, 5' to 7'",23-Aug-2017,Aug,n,M,White,25.0
31,2017.08.10,2017,Unprovoked,usa,Possibly a juvenile blacktip shark,10-Aug-2017,Aug,n,M,Unspecified,13.0
32,2017.08.03,2017,Provoked,usa,4' shark,03-Aug-2017,Aug,n,M,Unspecified,34.0
33,2017.07.29.c,2017,Invalid,usa,A small shark,29-Jul-2017,Jul,Unknown,M,Unspecified,10.0
34,2017.07.20.b,2017,Boating,usa,"White shark, 11' to 13'",20-Jul-2017,Jul,n,M,White,40.0
35,2017.07.20.a,2017,Unprovoked,usa,"White shark, 8' to 10'",20-Jul-2017,Jul,n,M,White,50.0
36,2017.07.09,2017,Unprovoked,usa,"Bull shark, 4' to 5'",09-Jul-2017,Jul,n,M,Bull,46.0
37,2017.07.07,2017,Unprovoked,south africa,"White shark, 2.5 m",07-Jul-2017,Jul,n,F,White,13.0
38,2017.06.11,2017,Unprovoked,australia,"White shark, 4 m",11-Jun-2017,Jun,n,M,White,48.0
39,2017.06.02,2017,Unprovoked,bahamas,Tiger shark,02-Jun-2017,Jun,n,F,Tiger,32.0
40,2017.05.03,2017,Invalid,usa,Shark involvement highly doubtful,03-May-2017,May,Unknown,F,Unspecified,18.0
41,2017.04.17.a,2017,Unprovoked,australia,White shark,17-Apr-2017,Apr,y,F,White,17.0
42,2017.04.14,2017,Unprovoked,usa,"Tiger shark, 12'",14-Apr-2017,Apr,n,M,Tiger,28.0
43,2017.04.02.a,2017,Unprovoked,usa,"Bull shark, 5' to 7'",02-Apr-2017,Apr,n,F,Bull,17.0
44,2017.01.21,2017,Unprovoked,australia,"Bull shark, 4 m",21-Jan-2017,Jan,n,M,Bull,55.0
45,2017.01.09,2017,Unprovoked,indonesia,"Bull shark, 1 m",09-Jan-2017,Jan,n,M,Bull,48.0
46,2017.01.03,2017,Invalid,australia,Shark involvement not confirmed,03-Jan-2017,Jan,Unknown,M,Unspecified,20.0
47,2016.12.19,2016,Unprovoked,south africa,"White shark, 4 m",19-Dec-2016,Dec,n,M,White,55.0
48,2016.12.11.a,2016,Invalid,usa,Shark involvement not confirmed,11-Dec-2016,Dec,Unknown,M,Unspecified,19.0
49,2016.12.06,2016,Provoked,australia,"Wobbegong shark, 2m",06-Dec-2016,Dec,n,M,Unspecified,20.0
50,2016.12.01,2016,Unprovoked,australia,White shark,01-Dec-2016,Dec,n,M,White,65.0
51,2016.11.28,2016,Provoked,australia,"Broadnose sevengill shark, 1.5 m",28-Nov-2016,Nov,n,M,Unspecified,25.0
52,2016.11.14,2016,Unprovoked,usa,Tiger shark,14-Nov-2016,Nov,n,F,Tiger,58.0
53,2016.10.21,2016,Unprovoked,usa, 6' to 8' shark,21-Oct-2016,Oct,n,M,Unspecified,36.0
54,2016.09.26,2016,Unprovoked,australia,"White shark, 3.5 m",26-Sep-2016,Sep,n,M,White,17.0
55,2016.09.11,2016,Unprovoked,usa,3' to 4' shark,11-Sep-2016,Sep,n,M,Unspecified,60.0
56,2016.09.07,2016,Unprovoked,usa,"Tiger shark, 10'",07-Sep-2016,Sep,n,F,Tiger,51.0
57,2016.08.29.b,2016,Unprovoked,usa,"Bull shark, 6'",29-Aug-2016,Aug,n,M,Bull,25.0
58,2016.08.06,2016,Unprovoked,usa,"Tiger shark, 10' ",06-Aug-2016,Aug,n,M,Tiger,21.0
59,2016.07.29,2016,Unprovoked,spain,Blue shark,29-Jul-2016,Jul,n,M,Unspecified,40.0
60,2016.07.20,2016,Provoked,australia,"reef shark, 1m",20-Jul-2016,Jul,n,M,Unspecified,31.0
61,2016.07.15.b,2016,Unprovoked,usa,"White shark, 10' to 12'",15-Jul-2016,Jul,n,M,White,61.0
62,2016.07.07.b,2016,Provoked,usa,dogfish shark,07-Jul-2016,Jul,n,M,Unspecified,59.0
63,2016.07.04,2016,Provoked,australia,Tawny nurse shark,04-Jul-2016,Jul,n,M,Unspecified,34.0
64,2016.06.21.b,2016,Unprovoked,usa,3' to 5' shark,21-Jun-2016,Jun,n,M,Unspecified,42.0
65,2016.06.14,2016,Unprovoked,usa,3' to 4' shark,14-Jun-2016,Jun,n,F,Unspecified,6.0
66,2016.06.11,2016,Unprovoked,usa,3' shark,11-Jun-2016,Jun,n,M,Unspecified,19.0
67,2016.06.07,2016,Invalid,usa,Said to involve an 8' shark but more likely damage caused by debris,07-Jun-2016,Jun,Unknown,M,Unspecified,27.0
68,2016.06.05.a,2016,Unprovoked,australia,3+ m shark,05-Jun-2016,Jun,y,F,Unspecified,60.0
69,2016.06.04,2016,Unprovoked,egypt,Mako shark,04-Jun-2016,Jun,n,M,Unspecified,23.0
70,2016.05.31,2016,Unprovoked,australia,White shark,31-May-2016,May,y,M,White,29.0
71,2016.05.29.a,2016,Unprovoked,usa,5' shark,29-May-2016,May,n,M,Unspecified,13.0
72,2016.05.21.b,2016,Unprovoked,usa,"Bull shark, 4' to 5'",21-May-2016,May,n,F,Bull,22.0
73,2016.05.18,2016,Unprovoked,usa,"Blacktip shark, 4'",18-May-2016,May,n,M,Unspecified,48.0
74,2016.05.15,2016,Provoked,usa,"Nurse shark, 2'",15-May-2016,May,n,F,Unspecified,23.0
75,2016.05.02,2016,Provoked,new zealand,"Mako shark, 1.5 m [5'] ",02-May-2016,May,n,M,Unspecified,39.0
76,2016.04.25,2016,Unprovoked,indonesia,"Bull shark, 6'",25-Apr-2016,Apr,n,M,Bull,24.0
77,2016.04.19,2016,Unprovoked,australia,Wobbegong shark,19-Apr-2016,Apr,n,M,Unspecified,12.0
78,2016.04.18.b,2016,Provoked,french polynesia,"Grey reef shark, 2 m",18-Apr-2016,Apr,Unknown,M,Grey,22.0
79,2016.04.18.a,2016,Provoked,french polynesia,"Grey reef shark, 2 m",18-Apr-2016,Apr,n,M,Grey,26.0
80,2016.04.09,2016,Unprovoked,new caledonia,"Tiger shark, 2.5 m",09-Apr-2016,Apr,y,F,Tiger,25.0
81,2016.01.23,2016,Unprovoked,usa,"Tiger shark, 14'",23-Jan-2016,Jan,n,M,Tiger,48.0
82,2016.01.05,2016,Unprovoked,australia,Blacktip shark,05-Jan-2016,Jan,n,M,Unspecified,11.0
83,2016.01.02,2016,Unprovoked,australia,3 m shark,02-Jan-2016,Jan,n,M,Unspecified,31.0
84,2015.12.22,2015,Unprovoked,usa,9' shark,22-Dec-2015,Dec,n,M,Unspecified,25.0
85,2015.12.21.b,2015,Unprovoked,australia,"Bronze whaler shark, 6'",21-Dec-2015,Dec,n,M,Unspecified,43.0
86,2015.11.20,2015,Unprovoked,ecuador,Galapagos shark,20-Nov-2015,Nov,n,M,Unspecified,55.0
87,2015.11.10,2015,Unprovoked,australia,"Bull shark, 2.8 to 3.1 m",10-Nov-2015,Nov,n,M,Bull,20.0
88,2015.12.23,2015,Invalid,usa,Shark involvement not confirmed,07-Nov-2015,Nov,Unknown,F,Unspecified,9.0
89,2015.11.01.b,2015,Unprovoked,usa,3' to 5' shark,01-Nov-2015,Nov,n,F,Unspecified,28.0
90,2015.10.25,2015,Unprovoked,south africa,"White shark, 3 to 3.5m ",25-Oct-2015,Oct,n,M,White,42.0
91,2015.10.21,2015,Unprovoked,usa,5' shark,21-Oct-2015,Oct,n,M,Unspecified,21.0
92,2015.10.19,2015,Unprovoked,usa,"Spinner shark, 5'",19-Oct-2015,Oct,n,M,Unspecified,21.0
93,2015.10.17.b,2015,Invalid,usa,No shark involvement,17-Oct-2015,Oct,Unknown,M,Unspecified,32.0
94,2015.10.17.a,2015,Unprovoked,usa,"Tiger shark, 7'",17-Oct-2015,Oct,n,M,Tiger,44.0
