,case_number,year,country,age,species_,mes,fatal,sexo,especie_cat,age_limpio
71,2016.05.29.a,2016,usa,13,5' shark,May,n,M,Unspecified,13.0
72,2016.05.21.b,2016,usa,22,"Bull shark, 4' to 5'",May,n,F,Bull,22.0
73,2016.05.18,2016,usa,48,"Blacktip shark, 4'",May,n,M,Unspecified,48.0
74,2016.05.15,2016,usa,23,"Nurse shark, 2'",May,n,F,Unspecified,23.0
75,2016.05.02,2016,new zealand,39,"Mako shark, 1.5 m [5'] ",May,n,M,Unspecified,39.0
76,2016.04.25,2016,indonesia,24,"Bull shark, 6'",Apr,n,M,Bull,24.0
77,2016.04.19,2016,australia,12,Wobbegong shark,Apr,n,M,Unspecified,12.0
78,2016.04.18.b,2016,french polynesia,22,"Grey reef shark, 2 m",Apr,,M,Grey,22.0
79,2016.04.18.a,2016,french polynesia,26,"Grey reef shark, 2 m",Apr,n,M,Grey,26.0
80,2016.04.09,2016,new caledonia,69,"Tiger shark, 2.5 m",Apr,y,F,Tiger,69.0
81,2016.01.23,2016,usa,48,"Tiger shark, 14'",Jan,n,M,Tiger,48.0
82,2016.01.05,2016,australia,11,Blacktip shark,Jan,n,M,Unspecified,11.0
83,2016.01.02,2016,australia,31,3 m shark,Jan,n,M,Unspecified,31.0
84,2015.12.22,2015,usa,71,9' shark,Dec,n,M,Unspecified,71.0
85,2015.12.21.b,2015,australia,43,"Bronze whaler shark, 6'",Dec,n,M,Unspecified,43.0
86,2015.11.20,2015,ecuador,55,Galapagos shark,Nov,n,M,Unspecified,55.0
87,2015.11.10,2015,australia,20,"Bull shark, 2.8 to 3.1 m",Nov,n,M,Bull,20.0
88,2015.12.23,2015,usa,9,Shark involvement not confirmed,Nov,,F,Unspecified,9.0
89,2015.11.01.b,2015,usa,28,3' to 5' shark,Nov,n,F,Unspecified,28.0
90,2015.10.25,2015,south africa,42,"White shark, 3 to 3.5m ",Oct,n,M,White,42.0
91,2015.10.21,2015,usa,21,5' shark,Oct,n,M,Unspecified,21.0
92,2015.10.19,2015,usa,21,"Spinner shark, 5'",Oct,n,M,Unspecified,21.0
93,2015.10.17.b,2015,usa,32,No shark involvement,Oct,,M,Unspecified,32.0
94,2015.10.17.a,2015,usa,44,"Tiger shark, 7'",Oct,n,M,Tiger,44.0
95,2015.10.09.a,2015,usa,25,"Tiger shark, 13' ",Oct,n,M,Tiger,25.0
96,2015.10.05.a,2015,usa,13,4' to 5' shark,Oct,n,M,Unspecified,13.0
97,2015.10.04,2015,usa,14,"Blacktip shark, 4' to 5'",Oct,n,M,Unspecified,14.0
98,2015.09.29,2015,usa,22,"Blacktip shark, 5' to 6'",Sep,n,M,Unspecified,22.0
99,2015.09.20.d,2015,usa,14,juvenile shark,Sep,n,M,Unspecified,14.0
100,2015.09.20.c,2015,usa,27,"Tiger shark, 13'",Sep,n,M,Tiger,27.0
101,2015.09.20.b,2015,usa,12,4' shark,Sep,n,M,Unspecified,12.0
102,2015.09.08,2015,australia,42,6' shark,Sep,n,M,Unspecified,42.0
103,2015.09.06,2015,usa,50,"White shark, 11' to 12'",Sep,n,F,White,50.0
104,2015.09.05,2015,usa,29,Hammerhead shark.,Sep,n,M,Unspecified,29.0
105,2015.09.04,2015,australia,62,"White shark, 2.5 m",Sep,n,M,White,62.0
106,2015.09.01,2015,thailand,37,small shark,Sep,n,F,Unspecified,37.0
107,2015.08.29.b,2015,usa,54,"White shark, 11' to 12'",Aug,n,F,White,54.0
108,2015.08.29.a,2015,usa,21,"White shark, 10' to 12' ",Aug,n,M,White,21.0
109,2015.08.20,2015,usa,15,4' shark,Aug,n,M,Unspecified,15.0
110,2015.08.19,2015,usa,10,3' shark,Aug,n,F,Unspecified,10.0
111,2015.08.18.b,2015,usa,22,"White shark, 13'",Aug,n,M,White,22.0
112,2015.08.18.a,2015,spain,10,Shark involvement not confirmed,Aug,,M,Unspecified,10.0
113,2015.08.10,2015,usa,57,Hammerhead shark. 6' to 7',Aug,n,M,Unspecified,57.0
114,2015.07.31,2015,australia,52,White shark,Jul,n,M,White,52.0
115,2015.07.26.b,2015,usa,25,"Blacktip or spinner shark, 4'",Jul,n,M,Unspecified,25.0
116,2015.07.26.a,2015,usa,35,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed",Jul,,F,Unspecified,35.0
117,2015.07.25,2015,australia,46,"White shark, 3.9 to 4.2 m",Jul,y,M,White,46.0
118,2015.07-10,2015,usa,38,"White shark, 7'",Jul,n,M,White,38.0
119,2015.07.03,2015,australia,52,White shark,Jul,n,M,White,52.0
120,2015.07.02,2015,australia,32,White shark,Jul,n,M,White,32.0
