,case_number,year,country,age,species_,mes,fatal,sexo,especie_cat,age_limpio
307,2011.07.22,2011,south africa,29,"White shark, 3m to 4m",Jul,n,M,White,29.0
308,2011.06.28,2011,south africa,22,"Bull shark, 3m female",Jun,n,M,Bull,22.0
309,2011.06.26,2011,usa,10,"Bull shark, 6'",Jun,n,F,Bull,10.0
310,2011.06.12,2011,usa,28,"Blacktip shark, 4'",Jun,n,M,Unspecified,28.0
311,2011.06.06.a,2011,usa,19,3' to 4' shark,Jun,n,M,Unspecified,19.0
312,2011.05.21.b,2011,south africa,28,Zambesi shark,May,y,M,Unspecified,28.0
313,2011.05.21.a,2011,new caledonia,15," Tiger shark, 2.8m",May,y,M,Tiger,15.0
314,2011.04.23,2011,australia,17,"reef shark, 1.5m",Apr,n,M,Unspecified,17.0
315,2011.04.22,2011,usa,49,1' to 2' shark,Apr,n,M,Unspecified,49.0
316,2011.04.16,2011,new zealand,41,possibly a bronze whaler shark,Apr,n,M,Unspecified,41.0
317,2011.03.23,2011,australia,48,"Bull shark, 2.5m",Mar,n,M,Bull,48.0
318,2011.03.16,2011,australia,24,3 m to 4 m shark,Mar,n,F,Unspecified,24.0
319,2011.02.28.R,2011,australia,36,"Bull shark, 2m",ReportedFeb,n,M,Bull,36.0
320,2011.02.23,2011,new caledonia,21,1.5 m shark,Feb,n,M,Unspecified,21.0
321,2011.02.17,2011,australia,49,White shark x 2,Feb,y,M,White,49.0
322,2011.01.31,2011,mexico,38,6' shark,Jan,n,F,Unspecified,38.0
323,2011.01.26,2011,bahamas,55,Caribbean reef shark,Jan,n,M,Unspecified,55.0
324,2011.01.20,2011,australia,7,Shark involvement not confirmed,Jan,,F,Unspecified,7.0
325,2010.12.26,2010,usa,16,6' shark,Dec,n,M,Unspecified,16.0
326,2010.12.05,2010,egypt,70,"Oceanic whitetip shark, 2.5m ",Dec,y,F,White,70.0
327,2010.12.01.b,2010,egypt,54,Mako shark ,Dec,n,M,Unspecified,54.0
328,2010.12.01.a,2010,egypt,46,Mako shark,Dec,n,M,Unspecified,46.0
329,2010.11.30.b,2010,egypt,70,"Oceanic whitetip shark, 2.5m, female",Nov,n,F,White,70.0
330,2010.11.30.a,2010,egypt,48,"Oceanic whitetip shark, 2.5m, female",Nov,n,F,White,48.0
331,2010.10.30,2010,australia,20,White shark,Oct,n,F,White,20.0
332,2010.10.23.b,2010,usa,30,"Porbeagle shark, 8' ",Oct,n,M,Unspecified,30.0
333,2010.10.22,2010,usa,19,"White shark, 14' to 18' ",Oct,y,M,White,19.0
334,2010.10.09,2010,australia,22,"Bull shark, 1.4m ",Oct,n,M,Bull,22.0
335,2010.09.27,2010,usa,29,White shark,Sep,n,M,White,29.0
336,2010.09.13,2010,australia,15,2m shark,Sep,n,M,Unspecified,15.0
337,2010.08.17,2010,australia,31,White shark,Aug,y,M,White,31.0
338,2010.08.02.a,2010,usa,37,3' to 4' shark,Aug,n,F,Unspecified,37.0
339,2010.07.19,2010,usa,10,Possibly a small blacktip shark,Jul,n,M,Unspecified,10.0
340,2010.07.17.b,2010,usa,13,"Sandtiger shark, 4' to 5'",Jul,n,F,Tiger,13.0
341,2010.07.16.b,2010,spain,9,Angel shark,Jul,n,M,Unspecified,9.0
342,2010.07.03,2010,usa,20,"Blue shark, 7'",Jul,n,M,Unspecified,20.0
343,2010.07.02.b,2010,usa,19,4' shark,Jul,n,M,Unspecified,19.0
344,2010.07.02.a,2010,usa,48,8' shark,Jul,n,M,Unspecified,48.0
345,2010.06.15,2010,vietnam,17,1 m shark,Jun,n,M,Unspecified,17.0
346,2010.06.10,2010,usa,18,4' shark,Jun,n,F,Unspecified,18.0
347,2010.05.30,2010,usa,49,"Lemon shark, 4'",May,n,M,Lemon,49.0
348,2010.05.18.c,2010,vietnam,58,20 to 30kg shark,May,n,F,Unspecified,58.0
349,2010.05.18.b,2010,vietnam,60,20 to 30kg shark,May,n,F,Unspecified,60.0
350,2010.05.01,2010,usa,10,4' shark,May,n,F,Unspecified,10.0
351,2010.04.28,2010,usa,29,"Lemon shark, 6'",Apr,n,M,Lemon,29.0
352,2010.04.19,2010,usa,68,14' shark,Apr,n,M,Unspecified,68.0
353,2010.04.13,2010,south africa,35,2 m shark,Apr,n,M,Unspecified,35.0
354,2010.04.04,2010,egypt,24,"Oceanic whitetip shark, 6'",Apr,n,M,White,24.0
355,2010.03.27,2010,reunion,34,1.5 m shark,Mar,n,M,Unspecified,34.0
356,2010.02.13,2010,australia,60,2 m shark,Feb,n,F,Unspecified,60.0
357,2010.02.11,2010,australia,46,"Wobbegong shark, 1.6m",Feb,n,M,Unspecified,46.0
358,2010.02.06.b,2010,australia,18,"White shark, 2.5m",Feb,n,M,White,18.0
359,2010.02.04,2010,guam,31,Invalid,Feb,,M,Unspecified,31.0
360,2010.02.01,2010,new zealand,14,1.5 m shark,Feb,n,F,Unspecified,14.0
361,2010.01.12,2010,south africa,37,White shark,Jan,y,M,White,37.0
362,2009.12.22,2009,mozambique,27,"Zambesi shark, 2m ",Dec,n,M,Unspecified,27.0
363,2009.12.20.a,2009,australia,18,"Bull shark, 3m",Dec,n,M,Bull,18.0
364,2009.12.06,2009,usa,58,"Sandtiger shark, 8'",Dec,n,M,Tiger,58.0
365,2009.11.25,2009,usa,49,Shark involvement not confirmed,Nov,,M,Unspecified,49.0
366,2009.11.24,2009,usa,10,6' shark,Nov,n,M,Unspecified,10.0
367,2009.11.16.b,2009,usa,31,Thresher shark,Nov,n,M,Unspecified,31.0
368,2009.11.11,2009,usa,18,4' shark,Nov,n,M,Unspecified,18.0
369,2009.11.08,2009,australia,25,2 m shark,Nov,n,M,Unspecified,25.0
370,2009.10.30,2009,australia,27,"White shark, 4m",Oct,n,M,White,27.0
371,2009.10.19,2009,usa,54,6' to 8' shark,Oct,n,M,Unspecified,54.0
372,2009.10.17,2009,scotland,23,Angel shark,Oct,n,M,Unspecified,23.0
373,2009.10.02,2009,united kingdom,39,Spurdog,Oct,n,M,Unspecified,39.0
374,2009.09.12,2009,usa,60,Shark involvement prior to death not confirmed,Sep,y,M,Unspecified,60.0
375,2009.08.29,2009,south africa,25,White shark,Aug,y,M,White,25.0
376,2009.08.25,2009,usa,22,"White shark, 5' to 6' juvenile ",Aug,n,F,White,22.0
377,2009.08.01,2009,usa,56,Bull shark?,Aug,n,M,Bull,56.0
378,2009.07.04,2009,usa,43,"Nurse shark, 6'",Jul,n,F,Unspecified,43.0
379,2009.06.27,2009,australia,52,"Thought to involve a Bronze whale shark, 2m",Jun,n,M,Unspecified,52.0
380,2009.06.16,2009,usa,14,"Shark involvement probable, but not confirmed",Jun,,M,Unspecified,14.0
381,2009.06.01,2009,egypt,50,"Oceanic whitetip shark, 2.5 to 3m",Jun,y,F,White,50.0
382,2009.05.31,2009,taiwan,46,80 kg shark,May,n,M,Unspecified,46.0
383,2009.05.17,2009,usa,31,blacktip or spinner shark,May,n,M,Unspecified,31.0
384,2009.05.16.b,2009,usa,49,blacktip or spinner shark,May,n,M,Unspecified,49.0
385,2009.05.16.a,2009,usa,55,blacktip or spinner shark,May,n,M,Unspecified,55.0
386,2009.05.12,2009,guam,27,"Blacktip shark, 4'",May,n,M,Unspecified,27.0
387,2009.04.17.,2009,usa,31,2' to 3' shark,Apr,n,M,Unspecified,31.0
388,2009.04.12,2009,australia,40,2' to 3' shark,Apr,n,M,Unspecified,40.0
389,2009.04.06.b,2009,south africa,24,Shark involvement not confirmed,Apr,,M,Unspecified,24.0
390,2009.03.20,2009,australia,17,Bronze whaler shark?,Mar,n,M,Unspecified,17.0
391,2009.03.18.a,2009,usa,17,3' to 4' shark,Mar,n,F,Unspecified,17.0
392,2009.03.17,2009,usa,61,Thought to involve a cookie cutter shark,Mar,n,M,Unspecified,61.0
393,2009.03.02,2009,south africa,40,"Blue shark, 1m",Mar,n,M,Unspecified,40.0
394,2009.03.01.a,2009,australia,15,2.6 m shark,Mar,n,M,Unspecified,15.0
395,2009.02.12,2009,australia,33,"White shark, 2.5m ",Feb,n,M,White,33.0
396,2009.02.11,2009,australia,31,"Bull shark, 2.7 m ",Feb,n,M,Bull,31.0
397,2009.02.07.b,2009,australia,41,"White shark, 12' ",Feb,n,M,White,41.0
398,2009.01.25,2009,cuba,15,Bull shark,Jan,n,M,Bull,15.0
399,2009.01.24.a,2009,south africa,25,Tiger shark,Jan,y,M,Tiger,25.0
400,2009.01.12,2009,australia,24,"Dusky shark, 2m",Jan,n,M,Unspecified,24.0
401,2009.01.11.b,2009,australia,13,"White shark, 5m",Jan,n,F,White,13.0
402,2009.01.11.a,2009,australia,31,"White shark, 3.5m",Jan,n,M,White,31.0
403,2009.01.06,2009,new zealand,49,Broadnose sevengill shark,Jan,n,M,Unspecified,49.0
404,2008.12.27.b,2008,australia,29,"White shark, 4m to 5m ",Dec,n,M,White,29.0
405,2008.12.27.a,2008,australia,51,4 to 5m white shark,Dec,y,M,White,51.0
406,2008.12.10,2008,south africa,15,"Raggedtooth shark, 2m",Dec,n,M,Unspecified,15.0
407,2008.10.22,2008,australia,34,"Grey nurse shark, 3m",Oct,n,M,Grey,34.0
408,2008.10.06,2008,croatia,43,5 m white shark,Oct,n,M,White,43.0
409,2008.09.28.a,2008,usa,40,+3' shark,Sep,n,M,Unspecified,40.0
410,2008.09.15,2008,australia,43,Bronze whaler shark,Sep,n,M,Unspecified,43.0
411,2008.09.09,2008,usa,40,Tiger shark,Sep,n,M,Tiger,40.0
412,2008.09.07,2008,australia,51,3 m shark,Sep,n,M,Unspecified,51.0
413,2008.09.01,2008,usa,52,4' shark,Sep,n,M,Unspecified,52.0
414,2008.08.30.b,2008,usa,27,Shark involvement not confirmed,Aug,,M,Unspecified,27.0
415,2008.08.27,2008,usa,26,6' shark,Aug,n,M,Unspecified,26.0
416,2008.08.22,2008,usa,20,Shark involvement not confirmed,Aug,,F,Unspecified,20.0
417,2008.08.16,2008,usa,38,8' bull shark or Caribbean reef shark,Aug,n,F,Bull,38.0
418,2008.07.30.R,2008,australia,31,8' white shark or 7-gill shark,Jul,n,M,White,31.0
419,2008.07.24.a,2008,usa,8,3' to 4' shark,Jul,n,F,Unspecified,8.0
420,2008.07.19,2008,usa,16,4' shark,Jul,n,M,Unspecified,16.0
421,2008.06.28.c,2008,usa,53,Shark involvement prior to death not confirmed,Jun,,M,Unspecified,53.0
422,2008.06.28.a,2008,south africa,46,"White shark, 2m",Jun,n,M,White,46.0
423,2008.06.26.a,2008,usa,37,4.5 to 5' shark,Jun,n,M,Unspecified,37.0
424,2008.06.21,2008,usa,40,"White shark, 15'",Jun,n,F,White,40.0
425,2008.06.01.b,2008,usa,15,5' shark,Jun,n,F,Unspecified,15.0
426,2008.06.01.a,2008,brazil,14,Bull shark,Jun,n,M,Bull,14.0
427,2008.05.24.a,2008,mexico,49,3 m shark,May,n,M,Unspecified,49.0
428,2008.05.10,2008,australia,37,"White shark, 4m",May,n,M,White,37.0
429,2008.05.07.b,2008,new caledonia,40,2 small bull sharks,May,n,M,Bull,40.0
430,2008.04.28.b,2008,mexico,24,Tiger shark,Apr,y,M,Tiger,24.0
431,2008.04.28.a,2008,usa,18,4' shark,Apr,n,M,Unspecified,18.0
432,2008.04.26.b,2008,new caledonia,32,"Bull shark, 1.8m",Apr,n,M,Bull,32.0
433,2008.04.25,2008,usa,66,"White shark, 12' to 15'",Apr,y,M,White,66.0
434,2008.04.18,2008,mexico,32,"Reported by media as shark attack, but shark involvement prior to death was not confirmed",Apr,,M,Unspecified,32.0
435,2008.04.17,2008,australia,19,Shark involvement not confirmed; thought to be a barracuda bite,Apr,,M,Unspecified,19.0
436,2008.04.15,2008,usa,30,1.5' to 2' shark,Apr,n,M,Unspecified,30.0
437,2008.04.08,2008,australia,16,Bull shark,Apr,y,M,Bull,16.0
438,2008.03.28.b,2008,usa,52,4' to 5' shark,Mar,n,M,Unspecified,52.0
439,2008.03.23,2008,usa,13,2.5' shark,Mar,n,M,Unspecified,13.0
440,2008.03.15,2008,usa,8,Shark involvement not confirmed,Mar,n,M,Unspecified,8.0
441,2008.03.07,2008,usa,27,White shark,Mar,n,M,White,27.0
442,2008.02.24,2008,bahamas,49,"A bull shark, according to some of the divers on the boat",Feb,y,M,Bull,49.0
443,2008.01.27,2008,australia,20,"Mako shark, 90kg",Jan,n,M,Unspecified,20.0
444,2007.12.18,2007,australia,31,2 m shark,Dec,n,M,Unspecified,31.0
445,2007.12.14,2007,australia,34,Not a shark attack; it was a hoax,Dec,,M,Unspecified,34.0
446,2007.12.10,2007,usa,52,Tiger shark,Dec,n,M,Tiger,52.0
447,2007.11.07,2007,south africa,14,1.5 to 2 m shark,Nov,n,M,Unspecified,14.0
448,2007.11.06,2007,usa,21,4' to 5' shark,Nov,n,M,Unspecified,21.0
449,2007.11.04,2007,usa,42,5' shark,Nov,n,M,Unspecified,42.0
450,2007.11.03,2007,south africa,37,"White shark, 3m to 4m",Nov,n,M,White,37.0
451,2007.10.29,2007,usa,32,Tiger shark,Oct,n,M,Tiger,32.0
452,2007.10.15,2007,australia,52,"White shark, 2.5m ",Oct,n,F,White,52.0
453,2007.10.13,2007,australia,31,Bronze whaler shark,Oct,n,M,Unspecified,31.0
454,2007.10.07,2007,usa,22,3' to 4' shark,Oct,n,M,Unspecified,22.0
455,2007.10.06,2007,usa,16,"Blacktip shark, 5'",Oct,n,M,Unspecified,16.0
456,2007.09.30.a,2007,new caledonia,23,Tiger shark,Sep,y,F,Tiger,23.0
457,2007.09.28,2007,bahamas,48,Caribbean reef shark,Sep,n,F,Unspecified,48.0
458,2007.09.27.a,2007,egypt,18 or 20,Oceanic whitetip sharks were in the vicinity,Sep,n,F,White,18.0
459,2007.09.20,2007,usa,23,3' shark,Sep,n,M,Unspecified,23.0
460,2007.09.16.a,2007,usa,Teen,9.5' shark?,Sep,n,F,Unspecified,
461,2007.09.13,2007,usa,14,"Nurse shark, 2' to 3' ",Sep,n,M,Unspecified,14.0
462,2007.09.03.b,2007,usa,12,"18"" to 24"" shark",Sep,n,F,Unspecified,12.0
463,2007.09.03.a,2007,usa,58,Possibly a spinner shark,Sep,n,M,Unspecified,58.0
464,2007.08.28.b,2007,usa,15,"Tiger shark, 10' to 12' ",Aug,n,M,Tiger,15.0
465,2007.08.28.a,2007,usa,24,"White shark, 12'",Aug,n,M,White,24.0
466,2007.08.26,2007,usa,54,3' shark,Aug,n,M,Unspecified,54.0
467,2007.08.25,2007,usa,27,3' shark,Aug,n,M,Unspecified,27.0
468,2007.08.19.b,2007,usa,16,4' to 5' shark,Aug,n,M,Unspecified,16.0
469,2007.08.15,2007,usa,20,Possibly a 6' bull shark,Aug,n,M,Bull,20.0
470,2007.08.12,2007,usa,15, ,Aug,n,F,Unspecified,15.0
471,2007.08.07,2007,usa,19,Possibly a 10' bull shark,Aug,n,F,Bull,19.0
472,2007.07.19.b,2007,usa,36, ,Jul,n,M,Unspecified,36.0
473,2007.07.19.a,2007,australia,15,"Bronze whaler shark, 1.5 m ",Jul,n,M,Unspecified,15.0
474,2007.07.18.b,2007,usa,14,2' to 3' shark,Jul,n,M,Unspecified,14.0
475,2007.07.17.b,2007,usa,43,Shark involvement not confirmed,Jul,,F,Unspecified,43.0
476,2007.07.17.a,2007,usa,30,5' shark,Jul,n,F,Unspecified,30.0
477,2007.07.10,2007,bahamas,48,"Bull shark, 5' ",Jul,n,F,Bull,48.0
478,2007.06.25,2007,usa,20,4' shark,Jun,n,M,Unspecified,20.0
479,2007.06.17,2007,usa,9,Shark involvement not confirmed,Jun,,F,Unspecified,9.0
480,2007.05.24,2007,usa,40,A 10-year-old 94-pound pregnant blacktip reef shark,May,n,F,Unspecified,40.0
481,2007.05.17.R,2007,england,38,"Lesser spotted dogfish, Scyliorhinus canicula, less than 80 cm in length",ReportedMay,n,M,Unspecified,38.0
482,2007.05.16,2007,australia,38,2.5 m shark,May,n,F,Unspecified,38.0
483,2007.05.12,2007,australia,19,10' shark,May,n,M,Unspecified,19.0
484,2007.05.10,2007,usa,21,4' to 5' shark,May,n,F,Unspecified,21.0
485,2007.05.08,2007,australia,45,Shark involvement prior to death was not confirmed,May,,M,Unspecified,45.0
486,2007.05.07.b,2007,usa,63,"Tiger shark, 14' ",May,n,F,Tiger,63.0
487,2007.05.07.a,2007,usa,68,6' to 8' shark,May,n,M,Unspecified,68.0
488,2007.04.26,2007,australia,13,"""a small shark""",Apr,n,F,Unspecified,13.0
489,2007.04.22,2007,usa,12,blacktip or spinner shark,Apr,n,M,Unspecified,12.0
490,2007.04.20,2007,usa,24,3' to 4' shark,Apr,n,M,Unspecified,24.0
491,2007.04.09,2007,new caledonia,26,Tiger shark,Apr,n,M,Tiger,26.0
492,2007.03.31.b,2007,usa,27,3' shark,Mar,n,M,Unspecified,27.0
493,2007.03.21,2007,usa,11,4' to 5' shark,Mar,n,M,Unspecified,11.0
494,2007.03.20,2007,australia,42,1.5 m shark,Mar,n,F,Unspecified,42.0
495,2007.03.12,2007,australia,59,2 to 2.5 m shark,Mar,n,F,Unspecified,59.0
496,2007.01.25.b,2007,new caledonia,30,Tiger shark,Jan,n,M,Tiger,30.0
497,2007.01.23,2007,australia,41,"White shark, 3m",Jan,n,M,White,41.0
498,2007.01.14,2007,south africa,24,Tiger shark,Jan,y,M,Tiger,24.0
499,2007.01.07,2007,usa,54,"24"" to 30"" shark",Jan,,M,Unspecified,54.0
500,2007.01.05,2007,usa,24,"6' to 8' shark, possibly a tiger shark",Jan,n,M,Tiger,24.0
501,2006.12.18,2006,australia,25,2.5 to 3 m shark,Dec,n,M,Unspecified,25.0
502,2006.12.11,2006,new zealand,10,2 to 3 m shark,Dec,n,M,Unspecified,10.0
503,2006.12.10,2006,usa,43,"White shark, 12' to 15' ",Dec,n,M,White,43.0
504,2006.12.06,2006,south africa,25,"Raggedtooth shark, 150-kg",Dec,n,M,Unspecified,25.0
505,2006.12.02,2006,australia,15,"White shark, 5m ",Dec,n,M,White,15.0
506,2006.11.11,2006,usa,29,2 m to 3 m shark,Nov,n,M,Unspecified,29.0
507,2006.10.31,2006,usa,22,"White shark, 16' ",Oct,n,M,White,22.0
508,2006.10.05,2006,usa,18,3' to 3.5' shark,Oct,n,M,Unspecified,18.0
509,2006.09.14,2006,usa,55,Spinner shark,Sep,n,M,Unspecified,55.0
510,2006.09.04,2006,australia,44,No shark involvement,Sep,,M,Unspecified,44.0
511,2006.09.03.a,2006,usa,33,3' shark,Sep,n,M,Unspecified,33.0
512,2006.08.13,2006,south africa,24,White shark,Aug,n,M,White,24.0
513,2006.07.31.a,2006,usa,41,White shark?,Jul,n,M,White,41.0
514,2006.07.28,2006,south africa,19,"White shark, 3m to 4m",Jul,n,M,White,19.0
515,2006.07.25,2006,usa,14, ,Jul,n,M,Unspecified,14.0
516,2006.07.17,2006,usa,49,"Angel shark, 1.2m ",Jul,n,M,Unspecified,49.0
517,2006.07.08.b,2006,usa,14,5' to 6' spinner or bull shark,Jul,n,F,Bull,14.0
518,2006.06.20,2006,usa,22,Possibly a 1' to 3' blacktip or spinner shark,Jun,n,F,Unspecified,22.0
519,2006.06.15,2006,usa,24,2' to 3' shark,Jun,n,M,Unspecified,24.0
520,2006.06.07,2006,usa,7,3' to 4' shark,Jun,n,F,Unspecified,7.0
521,2006.06.05,2006,australia,40,14' white shark,Jun,n,M,White,40.0
522,2006.05.31,2006,usa,26,"Tiger shark, 8' to 12'",May,n,M,Tiger,26.0
523,2006.05.24,2006,usa,15,"Grey reef shark, 5' to 8' ",May,n,M,Grey,15.0
524,2006.05.19,2006,usa,30s,"Tiger shark, 10' to 12'",May,n,F,Tiger,30.0
525,2006.05.02,2006,australia,46,"Wobbegong shark, 2 m ",May,n,M,Unspecified,46.0
526,2006.04.13,2006,usa,35,"Bull shark, 4' to bull shark",Apr,n,M,Bull,35.0
527,2006.04.11,2006,australia,15,"Bronze whaler shark, a  juvenile ",Apr,n,M,Unspecified,15.0
528,2006.04.09.b,2006,south africa,15,"Raggedtooth shark, 2.5 m to 3 m ",Apr,n,M,Unspecified,15.0
529,2006.04.09.a,2006,brazil,35,Tiger shark,Apr,n,M,Tiger,35.0
530,2006.03.23,2006,usa,28,"Tiger shark, 10'  ",Mar,n,F,Tiger,28.0
531,2006.03.19,2006,fiji,21,"Tiger shark, 5' ",Mar,n,M,Tiger,21.0
532,2006.03.15,2006,australia,15,"Bronze whaler shark, 2 m",Mar,n,M,Unspecified,15.0
533,2006.02.27,2006,usa,15,5' to 7' shark,Feb,n,F,Unspecified,15.0
534,2006.02.23,2006,usa,45,Invalid,Feb,,M,Unspecified,45.0
535,2006.02.08,2006,south africa,15,Raggedtooth shark,Feb,n,M,Unspecified,15.0
536,2006.02.01.b,2006,tonga,24,Tiger shark,Feb,y,F,Tiger,24.0
537,2006.02.01.a,2006,usa,57,12' to 18' shark,Feb,n,M,Unspecified,57.0
538,2006.01.15,2006,australia,52,3.5 m white shark,Jan,n,M,White,52.0
539,2006.01.07,2006,australia,21,Bull shark,Jan,y,F,Bull,21.0
540,2006.01.04,2006,usa,21,4' shark,Jan,n,M,Unspecified,21.0
541,2005.12.24,2005,usa,30,White shark,Dec,n,M,White,30.0
542,2005.12.21,2005,usa,29,Tiger shark,Dec,n,M,Tiger,29.0
543,2005.12.11,2005,australia,44,Whitetip reef shark,Dec,n,M,White,44.0
544,2005.11.27,2005,usa,23,4' shark,Nov,n,M,Unspecified,23.0
545,2005.11.25.b,2005,australia,18,1.8 m shark,Nov,n,M,Unspecified,18.0
546,2005.11.21,2005,usa,30s,4' shark,Nov,n,M,Unspecified,30.0
547,2005.11.15,2005,south africa,32,"Raggedtooth shark, 2.5m ",Nov,n,M,Unspecified,32.0
548,2005.11.12,2005,usa,18,6' shark,Nov,n,M,Unspecified,18.0
549,2005.11.02.a,2005,usa,26,12' to 14' white shark,Nov,n,M,White,26.0
550,2005.10.25,2005,st. maartin,55,2' shark,Oct,n,M,Unspecified,55.0
551,2005.10.22,2005,south africa,20,3 m shark,Oct,n,M,Unspecified,20.0
552,2005.10.21,2005,usa,36,White shark,Oct,n,M,White,36.0
553,2005.10.19,2005,usa,20,18' white shark,Oct,n,F,White,20.0
554,2005.10.13,2005,usa,22,"Tiger shark, less than 10'",Oct,n,M,Tiger,22.0
555,2005.10.11,2005,grand cayman,57,Caribbean reef sharks,Oct,n,F,Unspecified,57.0
556,2005.10.01,2005,south africa,52,White shark,Oct,n,M,White,52.0
557,2005.09.24,2005,australia,26,14' to 16' white shark,Sep,n,M,White,26.0
558,2005.09.23,2005,australia,44,Bronze whaler shark,Sep,n,M,Unspecified,44.0
559,2005.09.20,2005,usa,68,3' to 4' shark,Sep,n,F,Unspecified,68.0
560,2005.09.05,2005,usa,18,Bull shark,Sep,n,F,Bull,18.0
561,2005.09.04.a,2005,australia,40,4 m [13'] white shark,Sep,n,M,White,40.0
562,2005.08.24.b,2005,australia,23,White shark,Aug,y,M,White,23.0
563,2005.08.24.a,2005,usa,37,juvenile white shark,Aug,n,M,White,37.0
564,2005.08.22,2005,usa,17,Shark involvement not confirmed,Aug,,M,Unspecified,17.0
565,2005.08.21,2005,usa,8,Possibly a sandbar shark or small blacktip shark,Aug,n,M,Unspecified,8.0
566,2005.08.12,2005,usa,16,1.8 m [6'] shark,Aug,n,M,Unspecified,16.0
567,2005.07.22,2005,usa,25,Shark involvement not confirmed,Jul,,M,Unspecified,25.0
568,2005.07.15,2005,usa,22,[4.5' to 5'] shark,Jul,n,M,Unspecified,22.0
569,2005.07.13,2005,usa,14,[4' to 5'],Jul,n,F,Unspecified,14.0
570,2005.06.27,2005,usa,16,Bull shark,Jun,n,M,Bull,16.0
571,2005.06.25,2005,usa,14,1.8 m [6'] bull shark,Jun,y,F,Bull,14.0
572,2005.06.22,2005,vanuatu,7,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha",Jun,y,F,Unspecified,7.0
573,2005.06.18,2005,usa,49,Invalid,Jun,,M,Unspecified,49.0
574,2005.06.16,2005,usa,20,"Unknown, but it was reported that a shark tooth was recovered from the wound",Jun,n,M,Unspecified,20.0
575,2005.06.05,2005,usa,17,"Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident",Jun,,M,White,17.0
576,2005.06.04,2005,south africa,22,White shark,Jun,y,M,White,22.0
577,2005.05.28,2005,usa,33,"""small shark""",May,n,M,Unspecified,33.0
578,2005.05.25,2005,south africa,32,Raggedtooth shark,May,n,M,Unspecified,32.0
579,2005.05.02,2005,usa,47,"Tiger shark, 3 m [10']",May,n,M,Tiger,47.0
580,2005.04.25,2005,australia,25,"Mako shark, 1.5 m [5'] ",Apr,n,M,Unspecified,25.0
581,2005.04.16.a,2005,australia,40,Bronze whaler shark,Apr,n,M,Unspecified,40.0
582,2005.03.28,2005,south africa,32,4 m [13'] shark,Mar,n,M,Unspecified,32.0
583,2005.03.19,2005,australia,26,6 m [20'] white shark,Mar,y,M,White,26.0
584,2005.03.12,2005,usa,45,"Sandtiger shark, 2.1 m [7'] ",Mar,n,M,Tiger,45.0
585,2005.01.08,2005,new zealand,39,White shark,Jan,n,M,White,39.0
586,2004.12.16,2004,australia,18,4.5 m & 5 m white shark ,Dec,y,M,White,18.0
587,2004.12.11,2004,australia,38,Bull shark,Dec,y,M,Bull,38.0
588,2004.11.27,2004,south africa,20,Raggedtooth shark,Nov,n,M,Unspecified,20.0
589,2004.11.15,2004,south africa,77,6 m [20'] white shark,Nov,y,F,White,77.0
590,2004.11.11.b,2004,usa,38,5.5 m [18'] white shark,Nov,n,F,White,38.0
591,2004.10.31,2004,cuba,40,2.5 m [8.25'] bull shark,Oct,n,M,Bull,40.0
592,2004.10.30.a,2004,south africa,52,2 m [6.75'] white shark,Oct,n,M,White,52.0
593,2004.10.21,2004,australia,59,"Bronze whaler shark, 2.4 m [8'] ",Oct,n,M,Unspecified,59.0
594,2004.10.09.b,2004,usa,34,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] ",Oct,n,M,Tiger,34.0
595,2004.10.09.a,2004,south africa,34,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']",Oct,n,M,Unspecified,34.0
596,2004.10.06,2004,reunion,15,Thought to involve a 2.5 m bull or tiger shark,Oct,n,M,Tiger,15.0
597,2004.09.20,2004,usa,26,White shark,Sep,n,M,White,26.0
598,2004.09.04,2004,usa,17,2.4 m [8'] shark,Sep,n,F,Unspecified,17.0
599,2004.08.21,2004,brazil,24,"Tiger shark, 1.5 m ",Aug,n,M,Tiger,24.0
600,2004.08.15,2004,usa,50,4.9 m to 5.5 m [16' to 18'] white shark,Aug,y,M,White,50.0
601,2004.08.06,2004,usa,47,1.2 m [4'] shark,Aug,n,M,Unspecified,47.0
602,2004.07.27.b,2004,usa,13,1.8 m [6'] shark,Jul,n,F,Unspecified,13.0
603,2004.07.27.a,2004,usa,19,1.2 m to 1.5 m [4' to 5'] shark,Jul,n,F,Unspecified,19.0
604,2004.07.25,2004,usa,11,Bull shark,Jul,n,M,Bull,11.0
605,2004.07.10,2004,australia,30,"2 sharks, 4.5 m & 3 m ",Jul,y,M,Unspecified,30.0
606,2004.07.02.a,2004,usa,7,4' to 5' shark,Jul,n,M,Unspecified,7.0
607,2004.06.26.b,2004,usa,45,"9'2"" white shark",Jun,n,M,White,45.0
608,2004.06.10.b,2004,australia,17,"Bronze whaler shark, 2.5 m [8.25'] ",Jun,n,M,Unspecified,17.0
609,2004.06.10.a,2004,usa,8,1.2 m [4'] shark,Jun,n,M,Unspecified,8.0
610,2004.06.02,2004,south africa,21,White shark,Jun,y,M,White,21.0
