,year,age_limpio
310,2011,28.0
311,2011,19.0
312,2011,28.0
313,2011,15.0
314,2011,17.0
315,2011,49.0
316,2011,41.0
317,2011,48.0
318,2011,24.0
319,2011,36.0
320,2011,21.0
321,2011,49.0
322,2011,38.0
323,2011,55.0
324,2011,7.0
325,2010,16.0
326,2010,25.0
327,2010,54.0
328,2010,46.0
329,2010,25.0
330,2010,48.0
331,2010,20.0
332,2010,30.0
333,2010,19.0
334,2010,22.0
335,2010,29.0
336,2010,15.0
337,2010,31.0
338,2010,37.0
339,2010,10.0
340,2010,13.0
341,2010,9.0
342,2010,20.0
343,2010,19.0
344,2010,48.0
345,2010,17.0
346,2010,18.0
347,2010,49.0
348,2010,58.0
349,2010,60.0
350,2010,10.0
351,2010,29.0
352,2010,25.0
353,2010,35.0
354,2010,24.0
355,2010,34.0
356,2010,60.0
357,2010,46.0
358,2010,18.0
359,2010,31.0
360,2010,14.0
361,2010,37.0
362,2009,27.0
363,2009,18.0
364,2009,58.0
365,2009,49.0
366,2009,10.0
367,2009,31.0
368,2009,18.0
369,2009,25.0
370,2009,27.0
371,2009,54.0
372,2009,23.0
373,2009,39.0
374,2009,60.0
375,2009,25.0
376,2009,22.0
377,2009,56.0
378,2009,43.0
379,2009,52.0
380,2009,14.0
381,2009,50.0
382,2009,46.0
383,2009,31.0
384,2009,49.0
385,2009,55.0
386,2009,27.0
387,2009,31.0
388,2009,40.0
389,2009,24.0
390,2009,17.0
391,2009,17.0
392,2009,61.0
393,2009,40.0
394,2009,15.0
395,2009,33.0
396,2009,31.0
397,2009,41.0
398,2009,15.0
399,2009,25.0
400,2009,24.0
401,2009,13.0
402,2009,31.0
403,2009,49.0
404,2008,29.0
405,2008,51.0
406,2008,15.0
407,2008,34.0
408,2008,43.0
409,2008,40.0
410,2008,43.0
411,2008,40.0
412,2008,51.0
413,2008,52.0
414,2008,27.0
415,2008,26.0
416,2008,20.0
417,2008,38.0
418,2008,31.0
419,2008,8.0
420,2008,16.0
421,2008,53.0
422,2008,46.0
423,2008,37.0
424,2008,40.0
425,2008,15.0
426,2008,14.0
427,2008,49.0
428,2008,37.0
429,2008,40.0
430,2008,24.0
431,2008,18.0
432,2008,32.0
433,2008,25.0
434,2008,32.0
435,2008,19.0
436,2008,30.0
437,2008,16.0
438,2008,52.0
439,2008,13.0
440,2008,8.0
441,2008,27.0
442,2008,49.0
443,2008,20.0
444,2007,31.0
445,2007,34.0
446,2007,52.0
447,2007,14.0
448,2007,21.0
449,2007,42.0
450,2007,37.0
451,2007,32.0
452,2007,52.0
453,2007,31.0
454,2007,22.0
455,2007,16.0
456,2007,23.0
457,2007,48.0
458,2007,18.0
459,2007,23.0
460,2007,
461,2007,14.0
462,2007,12.0
463,2007,58.0
464,2007,15.0
465,2007,24.0
466,2007,54.0
467,2007,27.0
468,2007,16.0
469,2007,20.0
470,2007,15.0
471,2007,19.0
472,2007,36.0
473,2007,15.0
474,2007,14.0
475,2007,43.0
476,2007,30.0
477,2007,48.0
478,2007,20.0
479,2007,9.0
480,2007,40.0
481,2007,38.0
482,2007,38.0
483,2007,19.0
484,2007,21.0
485,2007,45.0
486,2007,63.0
487,2007,25.0
488,2007,13.0
489,2007,12.0
490,2007,24.0
491,2007,26.0
492,2007,27.0
493,2007,11.0
494,2007,42.0
495,2007,59.0
496,2007,30.0
497,2007,41.0
498,2007,24.0
499,2007,54.0
500,2007,24.0
501,2006,25.0
502,2006,10.0
503,2006,43.0
504,2006,25.0
505,2006,15.0
506,2006,29.0
507,2006,22.0
508,2006,18.0
509,2006,55.0
510,2006,44.0
511,2006,33.0
512,2006,24.0
513,2006,41.0
514,2006,19.0
515,2006,14.0
516,2006,49.0
517,2006,14.0
518,2006,22.0
519,2006,24.0
520,2006,7.0
521,2006,40.0
522,2006,26.0
523,2006,15.0
524,2006,30.0
525,2006,46.0
526,2006,35.0
527,2006,15.0
528,2006,15.0
529,2006,35.0
530,2006,28.0
531,2006,21.0
532,2006,15.0
533,2006,15.0
534,2006,45.0
535,2006,15.0
536,2006,24.0
537,2006,57.0
538,2006,52.0
539,2006,21.0
540,2006,21.0
541,2005,30.0
542,2005,29.0
543,2005,44.0
544,2005,23.0
545,2005,18.0
546,2005,30.0
547,2005,32.0
548,2005,18.0
549,2005,26.0
550,2005,55.0
551,2005,20.0
552,2005,36.0
553,2005,20.0
554,2005,22.0
555,2005,57.0
556,2005,52.0
557,2005,26.0
558,2005,44.0
559,2005,25.0
560,2005,18.0
561,2005,40.0
562,2005,23.0
563,2005,37.0
564,2005,17.0
565,2005,8.0
566,2005,16.0
567,2005,25.0
568,2005,22.0
569,2005,14.0
570,2005,16.0
571,2005,14.0
572,2005,7.0
573,2005,49.0
574,2005,20.0
575,2005,17.0
576,2005,22.0
577,2005,33.0
578,2005,32.0
579,2005,47.0
580,2005,25.0
581,2005,40.0
582,2005,32.0
583,2005,26.0
584,2005,45.0
585,2005,39.0
586,2004,18.0
587,2004,38.0
588,2004,20.0
589,2004,25.0
590,2004,38.0
591,2004,40.0
592,2004,52.0
593,2004,59.0
594,2004,34.0
595,2004,34.0
596,2004,15.0
597,2004,26.0
598,2004,17.0
599,2004,24.0
600,2004,50.0
601,2004,47.0
602,2004,13.0
603,2004,19.0
604,2004,11.0
605,2004,30.0
606,2004,7.0
607,2004,45.0
608,2004,17.0
609,2004,8.0
610,2004,21.0
611,2004,16.0
612,2004,17.0
613,2004,44.0
614,2004,63.0
615,2004,28.0
616,2004,57.0
617,2004,16.0
618,2004,20.0
619,2004,22.0
620,2004,20.0
621,2004,51.0
622,2004,15.0
623,2004,31.0
624,2004,46.0
625,2004,40.0
626,2003,21.0
627,2003,35.0
628,2003,18.0
629,2003,22.0
630,2003,13.0
631,2003,56.0
632,2003,19.0
633,2003,41.0
634,2003,30.0
635,2003,8.0
636,2003,18.0
637,2003,15.0
638,2003,19.0
639,2003,50.0
640,2003,31.0
641,2003,16.0
642,2003,58.0
643,2003,10.0
644,2003,39.0
645,2003,17.0
646,2003,15.0
647,2003,12.0
648,2003,60.0
649,2003,33.0
650,2003,22.0
651,2003,20.0
652,2003,34.0
653,2003,17.0
654,2003,36.0
655,2003,17.0
656,2003,30.0
657,2003,23.0
658,2003,18.0
659,2003,11.0
660,2003,12.0
661,2003,20.0
662,2003,28.0
663,2003,50.0
664,2003,44.0
665,2003,37.0
666,2003,54.0
667,2003,24.0
668,2003,25.0
669,2003,14.0
670,2002,25.0
671,2002,23.0
672,2002,48.0
673,2002,34.0
674,2002,41.0
675,2002,21.0
676,2002,16.0
677,2002,60.0
678,2002,36.0
679,2002,14.0
680,2002,35.0
681,2002,18.0
682,2002,47.0
683,2002,55.0
684,2002,
685,2002,
686,2002,24.0
687,2002,35.0
688,2002,19.0
689,2002,47.0
690,2002,20.0
691,2002,36.0
692,2002,16.0
693,2002,27.0
694,2002,15.0
695,2002,14.0
696,2002,13.0
697,2002,15.0
698,2002,41.0
699,2002,22.0
700,2002,9.0
701,2002,28.0
702,2002,50.0
703,2002,50.0
704,2002,24.0
705,2002,16.0
706,2002,55.0
707,2002,23.0
708,2002,34.0
709,2002,43.0
710,2002,41.0
711,2002,29.0
712,2002,17.0
713,2002,11.0
714,2002,20.0
715,2002,39.0
716,2002,31.0
717,2002,30.0
718,2002,35.0
719,2002,20.0
720,2002,16.0
721,2002,26.0
722,2002,35.0
