,case_number,type,country,species_,date,mes,fatal,sexo,especie_cat,age,year,age_limpio
217,2013.06.18,Unprovoked,usa,"Tiger shark, 14'",18-Jun-2013,Jun,n,M,Tiger,28.0,2013.0,28.0
218,2013.06.14.R,Unprovoked,usa,4' to 5' shark,Reported 14-Jun-2013,ReportedJun,n,F,Unspecified,10.0,2013.0,10.0
219,2013.05.14,Unprovoked,ecuador,Galapagos shark,14-May-2014,May,n,M,Unspecified,29.0,2013.0,29.0
220,2013.05.08.a,Unprovoked,reunion,Bull shark,08-May-2013,May,y,M,Bull,36.0,2013.0,36.0
221,2013.05.04.a,Unprovoked,usa,a small shark,04-May-2013,May,n,M,Unspecified,16.0,2013.0,16.0
222,2013.04.24,Unprovoked,mexico,Tiger shark,24-Apr-2013,Apr,n,F,Tiger,34.0,2013.0,34.0
223,2013.04.21,Unprovoked,australia,"Grey nurse shark, 3m",21-Apr-2013,Apr,n,M,Grey,51.0,2013.0,51.0
224,2013.04.17,Unprovoked,usa,3' shark,17-Apr-2013,Apr,n,M,Unspecified,9.0,2013.0,9.0
225,2013.04.13.b,Unprovoked,usa,Bull shark,13-Apr-2013,Apr,n,M,Bull,21.0,2013.0,21.0
226,2013.04.10,Unprovoked,french polynesia,Possibly a blacktip reef shark,10-Apr-2013,Apr,n,M,Unspecified,53.0,2013.0,53.0
227,2013.04.02.a,Unprovoked,usa,4' shark,02-Apr-2013,Apr,n,M,Unspecified,58.0,2013.0,58.0
228,2013.03.16.b,Provoked,south africa,"Raggedtooth shark, 1.5 m",16-Mar-2013,Mar,n,M,Unspecified,30.0,2013.0,30.0
229,2013.03.12,Unprovoked,jamaica,"Tiger shark, 4.8 m",12-Mar-2013,Mar,y,M,Tiger,25.0,2013.0,25.0
230,2013.03.10.b,Unprovoked,australia,"Bronze whaler shark, 2.5m",10-Mar-2013,Mar,n,M,Unspecified,28.0,2013.0,28.0
231,2013.02.27,Unprovoked,new zealand,"White shark, 4m",27-Feb-2013,Feb,y,M,White,46.0,2013.0,46.0
232,2013.02.10,Unprovoked,usa,"Blacktip shark, 4' to 5'",10-Feb-2013,Feb,n,M,Unspecified,16.0,2013.0,16.0
233,2013.02.09,Unprovoked,french polynesia,Lemon shark,09-Feb-2013,Feb,n,M,Lemon,48.0,2013.0,48.0
234,2013.01.16,Unprovoked,usa,"Tiger shark, 15'",16-Jan-2013,Jan,n,M,Tiger,43.0,2013.0,43.0
235,2012.12.30,Unprovoked,australia,2.5 m shark,30-Dec-2012,Dec,n,M,Unspecified,23.0,2012.0,23.0
236,2012.12.28,Unprovoked,australia,"Bull shark, 2m ",28-Dec-2012,Dec,n,M,Bull,29.0,2012.0,29.0
237,2012.12.19,Unprovoked,australia,"Tiger shark, 6'",19-Dec-2012,Dec,n,M,Tiger,32.0,2012.0,32.0
238,2012.12.05,Unprovoked,usa,10' shark,05-Dec-2012,Dec,n,M,Unspecified,60.0,2012.0,60.0
239,2012.12.02,Unprovoked,australia,Sandtiger shark,02-Dec-2012,Dec,n,M,Tiger,31.0,2012.0,31.0
240,2012.11.30,Unprovoked,usa,"Tiger shark, 10'",30-Nov-2012,Nov,n,M,Tiger,61.0,2012.0,61.0
241,2012.11.22,Unprovoked,mexico,2.5 m shark,22-Nov-2012,Nov,y,M,Unspecified,32.0,2012.0,32.0
242,2012.11.19,Unprovoked,usa,2' to 3' shark,19-Nov-2012,Nov,n,M,Unspecified,14.0,2012.0,14.0
243,2012.11.04.b,Unprovoked,usa,"Tiger shark, 15'",04-Nov-2012,Nov,n,M,Tiger,30.0,2012.0,30.0
244,2012.11.04.a,Unprovoked,usa,"Tiger shark, 8'",04-Nov-2012,Nov,n,M,Tiger,43.0,2012.0,43.0
245,2012.10.30,Unprovoked,usa,White shark,30-Oct-2012,Oct,n,M,White,25.0,2012.0,25.0
246,2012.10.27,Unprovoked,usa,"Tiger shark, 10' to 12' ",27-Oct-2012,Oct,n,F,Tiger,51.0,2012.0,51.0
247,2012.10.23,Unprovoked,usa,"White shark, 15' to 16' ",23-Oct-2012,Oct,y,M,White,39.0,2012.0,39.0
248,2012.10.18.a,Unprovoked,usa,6' to 8' shark,18-Oct-2012,Oct,n,M,Unspecified,55.0,2012.0,55.0
249,2012.10.02,Unprovoked,australia,2m shark,02-Oct-2012,Oct,n,M,Unspecified,11.0,2012.0,11.0
250,2012.09.25,Unprovoked,usa,5' shark,25-Sep-2012,Sep,n,M,Unspecified,21.0,2012.0,21.0
251,2012.09.24,Unprovoked,usa,4' shark,24-Sep-2012,Sep,n,M,Unspecified,22.0,2012.0,22.0
252,2012.09.02.b,Unprovoked,usa,3.5' to 4' shark,02-Sep-2012,Sep,n,F,Unspecified,8.0,2012.0,8.0
253,2012.09.02.a,Unprovoked,usa,3.5' to 4' shark,02-Sep-2012,Sep,n,F,Unspecified,56.0,2012.0,56.0
254,2012.08.09,Unprovoked,usa,"Lemon shark, 4' to 5' ",08-Aug-2012,Aug,n,M,Lemon,56.0,2012.0,56.0
255,2012.07.31.a,Unprovoked,australia,White shark or bronze whaler,31-Jul-2012,Jul,n,M,White,48.0,2012.0,48.0
256,2012.07.30.a,Unprovoked,usa,Thought to involve a white shark,30-Jul-2012,Jul,n,M,White,50.0,2012.0,50.0
257,2012.07.14,Unprovoked,australia,"White shark, 5m",14-Jul-2012,Jul,y,M,White,24.0,2012.0,24.0
258,2012.07.07.a,Boating,usa,14' to 18'shark,07-Jul-2012,Jul,n,M,Unspecified,52.0,2012.0,52.0
259,2012.07.06,Unprovoked,south africa,15' shark,06-Jul-2012,Jul,n,M,Unspecified,29.0,2012.0,29.0
260,2012.06.26.c,Unprovoked,usa,possibly a bull shark,26-Jun-2012,Jun,n,M,Bull,6.0,2012.0,6.0
261,2012.06.26.a,Unprovoked,usa,a small reef shark,26-Jun-2012,Jun,n,F,Unspecified,16.0,2012.0,16.0
262,2012.06.20,Unprovoked,australia,3 m shark,20-Jun-2012,Jun,n,M,Unspecified,62.0,2012.0,62.0
263,2012.06.15,Provoked,usa,Nurse shark,15-Jun-2012,Jun,n,M,Unspecified,23.0,2012.0,23.0
264,2012.06.14.d,Unprovoked,usa,small blacktip shark?,14-Jun-2012,Jun,n,F,Unspecified,18.0,2012.0,18.0
265,2012.06.14.a,Unprovoked,usa,Blacktip shark ,14-Jun-2012,Jun,n,M,Unspecified,16.0,2012.0,16.0
266,2012.06.12,Unprovoked,australia,1.5 m shark,12-Jun-2012,Jun,n,M,Unspecified,42.0,2012.0,42.0
267,2012.06.10,Provoked,italy,"Blue shark, 2.5m",10-Jun-2012,Jun,,M,Unspecified,57.0,2012.0,57.0
268,2012.06.03,Unprovoked,australia,"White shark, 2 m",03-Jun-2012,Jun,n,M,White,30.0,2012.0,30.0
269,2012.05.31,Unprovoked,usa,"18"" to 24"" shark",31-May-2012,May,n,F,Unspecified,33.0,2012.0,33.0
270,2012.05.29,Unprovoked,mexico,"Bull shark, 3m",29-May-2012,May,n,M,Bull,46.0,2012.0,46.0
271,2012.05.23,Unprovoked,usa,4' to 5' shark,23-May-2012,May,n,M,Unspecified,22.0,2012.0,22.0
272,2012.05.12,Boating,usa,White shark,12-May-2012,May,n,M,White,30.0,2012.0,30.0
273,2012.05.06,Unprovoked,usa,White shark,06-May-2012,May,n,F,White,15.0,2012.0,15.0
274,2012.04.19.b,Unprovoked,usa,5' shark,19-Apr-2012,Apr,n,M,Unspecified,28.0,2012.0,28.0
275,2012.04.19.a,Unprovoked,south africa,"White shark, 4 m to 5m ",19-Apr-2012,Apr,y,M,White,20.0,2012.0,20.0
276,2012.04.03,Unprovoked,usa,"Tiger shark, 10'  ",03-Apr-2012,Apr,n,M,Tiger,28.0,2012.0,28.0
277,2012.03.31,Unprovoked,australia,"White shark, 4m ",31-Mar-2012,Mar,y,M,White,33.0,2012.0,33.0
278,2012.03.20,Unprovoked,australia,Possibly a bull shark,20-Mar-2012,Mar,n,M,Bull,20.0,2012.0,20.0
279,2012.03.15,Unprovoked,usa,Possibly a 5' to 6' bull shark,15-Mar-2012,Mar,n,M,Bull,61.0,2012.0,61.0
280,2012.03.14.b,Unprovoked,usa,4' to 5' shark,14-Mar-2012,Mar,n,F,Unspecified,15.0,2012.0,15.0
281,2012.03.14.a,Unprovoked,usa,4' to 5' shark,14-Mar-2012,Mar,n,M,Unspecified,17.0,2012.0,17.0
282,2012.03.06.a,Provoked,australia,"Tawny nurse shark, 40cm",06-Mar-2012,Mar,n,F,Unspecified,34.0,2012.0,34.0
283,2012.03.04,Unprovoked,usa,4' shark,04-Mar-2012,Mar,n,M,Unspecified,19.0,2012.0,19.0
284,2012.01.19,Unprovoked,australia,"Tiger shark, 3m",19-Jan-2012,Jan,n,M,Tiger,26.0,2012.0,26.0
285,2012.01.18.a,Unprovoked,australia,"White shark, 2.7 m",18-Jan-2012,Jan,n,M,White,44.0,2012.0,44.0
286,2012.01.15,Unprovoked,south africa,Thought to involve a bull shark,15-Jan-2012,Jan,y,M,Bull,25.0,2012.0,25.0
287,2012.01.03,Unprovoked,australia,2 m shark,03-Jan-2012,Jan,n,M,Unspecified,28.0,2012.0,28.0
288,2012.01.02,Unprovoked,australia,Allegedly a 4 m tiger shark,02-Jan-2012,Jan,n,M,Tiger,34.0,2012.0,34.0
289,2011.12.11,Unprovoked,australia,"White shark, 2.5m",11-Dec-2011,Dec,n,M,White,51.0,2011.0,51.0
290,2011.11.28,Unprovoked,australia,Wobbegong shark?,28-Nov-2011,Nov,n,M,Unspecified,10.0,2011.0,10.0
291,2011.10.22,Unprovoked,australia,"White shark, 10'",22-Oct-2011,Oct,y,M,White,32.0,2011.0,32.0
292,2011.10.19,Unprovoked,australia,"Port Jackson shark, 1m",19-Oct-2011,Oct,n,M,Unspecified,50.0,2011.0,50.0
293,2011.09.30,Invalid,usa,No shark involvement,30-Sep-2011,Sep,,M,Unspecified,27.0,2011.0,27.0
294,2011.09.28.a,Unprovoked,south africa,White shark,28-Sep-2011,Sep,n,M,White,43.0,2011.0,43.0
295,2011.09.24.b,Unprovoked,usa,"Bull shark, 6'",24-Sep-2011,Sep,n,M,Bull,21.0,2011.0,21.0
296,2011.09.16,Unprovoked,usa,4' to 6' shark,16-Sep-2011,Sep,n,M,Unspecified,25.0,2011.0,25.0
297,2011.09.11.a,Unprovoked,papua new guinea,"Tiger shark, 2m",11-Sep-2011,Sep,n,M,Tiger,30.0,2011.0,30.0
298,2011.09.04.a,Unprovoked,australia,White shark,04-Sep-2011,Sep,y,M,White,21.0,2011.0,21.0
299,2011.09.02,Unprovoked,usa,"6' shark, possibly a blactip or spinner shark",02-Sep-2011,Sep,n,M,Unspecified,19.0,2011.0,19.0
300,2011.08.31,Unprovoked,usa,6' shark,31-Aug-2011,Aug,n,M,Unspecified,19.0,2011.0,19.0
301,2011.08.28.b,Invalid,australia,Shark involvement prior to death not confirmed,28-Aug-2011,Aug,,M,Unspecified,48.0,2011.0,48.0
302,2011.08.23,Unprovoked,south africa,"White shark, >6'",23-Aug-2011,Aug,y,M,White,49.0,2011.0,49.0
303,2011.08.17.c.,Unprovoked,usa,Possibly a 5' to 6' sandtiger shark,17-Aug-2011,Aug,n,F,Tiger,20.0,2011.0,20.0
304,2011.08.17.a,Unprovoked,russia,4 m shark,17-Aug-2011,Aug,n,M,Unspecified,25.0,2011.0,25.0
305,2011.08.16.c,Unprovoked,french polynesia,Grey reef shark ,16-Aug-2011,Aug,n,M,Grey,32.0,2011.0,32.0
306,2011.08.16.a,Unprovoked,seychelles,"Bull shark, 6'",16-Aug-2011,Aug,y,M,Bull,30.0,2011.0,30.0
307,2011.07.22,Unprovoked,south africa,"White shark, 3m to 4m",22-Jul-2011,Jul,n,M,White,29.0,2011.0,29.0
308,2011.06.28,Unprovoked,south africa,"Bull shark, 3m female",28-Jun-2011,Jun,n,M,Bull,22.0,2011.0,22.0
309,2011.06.26,Unprovoked,usa,"Bull shark, 6'",26-Jun-2008,Jun,n,F,Bull,10.0,2011.0,10.0
310,2011.06.12,Unprovoked,usa,"Blacktip shark, 4'",12-Jun-2011,Jun,n,M,Unspecified,28.0,2011.0,28.0
311,2011.06.06.a,Unprovoked,usa,3' to 4' shark,06-Jun-2011,Jun,n,M,Unspecified,19.0,2011.0,19.0
312,2011.05.21.b,Unprovoked,south africa,Zambesi shark,21-May-2011,May,y,M,Unspecified,28.0,2011.0,28.0
313,2011.05.21.a,Unprovoked,new caledonia," Tiger shark, 2.8m",21-May-2011,May,y,M,Tiger,15.0,2011.0,15.0
314,2011.04.23,Unprovoked,australia,"reef shark, 1.5m",23-Apr-2011,Apr,n,M,Unspecified,17.0,2011.0,17.0
315,2011.04.22,Unprovoked,usa,1' to 2' shark,22-Apr-2011,Apr,n,M,Unspecified,49.0,2011.0,49.0
316,2011.04.16,Unprovoked,new zealand,possibly a bronze whaler shark,16-Apr-2011,Apr,n,M,Unspecified,41.0,2011.0,41.0
317,2011.03.23,Unprovoked,australia,"Bull shark, 2.5m",23-Mar-2011,Mar,n,M,Bull,48.0,2011.0,48.0
318,2011.03.16,Unprovoked,australia,3 m to 4 m shark,16-Mar-2011,Mar,n,F,Unspecified,24.0,2011.0,24.0
319,2011.02.28.R,Provoked,australia,"Bull shark, 2m",Reported 28-Feb-2011,ReportedFeb,n,M,Bull,36.0,2011.0,36.0
320,2011.02.23,Unprovoked,new caledonia,1.5 m shark,23-Feb-2011,Feb,n,M,Unspecified,21.0,2011.0,21.0
321,2011.02.17,Unprovoked,australia,White shark x 2,17-Feb-2011,Feb,y,M,White,49.0,2011.0,49.0
322,2011.01.31,Unprovoked,mexico,6' shark,31-Jan-2011,Jan,n,F,Unspecified,38.0,2011.0,38.0
323,2011.01.26,Unprovoked,bahamas,Caribbean reef shark,26-Jan-2011,Jan,n,M,Unspecified,55.0,2011.0,55.0
324,2011.01.20,Invalid,australia,Shark involvement not confirmed,20-Jan-2011,Jan,,F,Unspecified,7.0,2011.0,7.0
325,2010.12.26,Unprovoked,usa,6' shark,26-Dec-2010,Dec,n,M,Unspecified,16.0,2010.0,16.0
326,2010.12.05,Unprovoked,egypt,"Oceanic whitetip shark, 2.5m ",05-Dec-2010,Dec,y,F,White,25.0,2010.0,25.0
327,2010.12.01.b,Unprovoked,egypt,Mako shark ,01-Dec-2010,Dec,n,M,Unspecified,54.0,2010.0,54.0
328,2010.12.01.a,Unprovoked,egypt,Mako shark,01-Dec-2010,Dec,n,M,Unspecified,46.0,2010.0,46.0
329,2010.11.30.b,Unprovoked,egypt,"Oceanic whitetip shark, 2.5m, female",30-Nov-2010,Nov,n,F,White,25.0,2010.0,25.0
330,2010.11.30.a,Unprovoked,egypt,"Oceanic whitetip shark, 2.5m, female",30-Nov-2010,Nov,n,F,White,48.0,2010.0,48.0
331,2010.10.30,Unprovoked,australia,White shark,30-Oct-2010,Oct,n,F,White,20.0,2010.0,20.0
332,2010.10.23.b,Unprovoked,usa,"Porbeagle shark, 8' ",23-Oct-2010,Oct,n,M,Unspecified,30.0,2010.0,30.0
333,2010.10.22,Unprovoked,usa,"White shark, 14' to 18' ",22-Oct-2010,Oct,y,M,White,19.0,2010.0,19.0
334,2010.10.09,Unprovoked,australia,"Bull shark, 1.4m ",09-Oct-2010,Oct,n,M,Bull,22.0,2010.0,22.0
335,2010.09.27,Unprovoked,usa,White shark,27-Sep-2010,Sep,n,M,White,29.0,2010.0,29.0
336,2010.09.13,Unprovoked,australia,2m shark, 13-Sep-2010,Sep,n,M,Unspecified,15.0,2010.0,15.0
337,2010.08.17,Unprovoked,australia,White shark,17-Aug-2010,Aug,y,M,White,31.0,2010.0,31.0
338,2010.08.02.a,Unprovoked,usa,3' to 4' shark,02-Aug-2010,Aug,n,F,Unspecified,37.0,2010.0,37.0
339,2010.07.19,Unprovoked,usa,Possibly a small blacktip shark,19-Jul-2010,Jul,n,M,Unspecified,10.0,2010.0,10.0
340,2010.07.17.b,Unprovoked,usa,"Sandtiger shark, 4' to 5'",17-Jul-2010,Jul,n,F,Tiger,13.0,2010.0,13.0
341,2010.07.16.b,Provoked,spain,Angel shark,16-Jul-2010,Jul,n,M,Unspecified,9.0,2010.0,9.0
342,2010.07.03,Provoked,usa,"Blue shark, 7'",03-Jul-2010,Jul,n,M,Unspecified,20.0,2010.0,20.0
343,2010.07.02.b,Unprovoked,usa,4' shark,02-Jul-2010,Jul,n,M,Unspecified,19.0,2010.0,19.0
344,2010.07.02.a,Unprovoked,usa,8' shark,02-Jul-2010,Jul,n,M,Unspecified,48.0,2010.0,48.0
345,2010.06.15,Unprovoked,vietnam,1 m shark,15-Jun-2010,Jun,n,M,Unspecified,17.0,2010.0,17.0
346,2010.06.10,Unprovoked,usa,4' shark,10-Jun-2010,Jun,n,F,Unspecified,18.0,2010.0,18.0
347,2010.05.30,Provoked,usa,"Lemon shark, 4'",30-May-2010,May,n,M,Lemon,49.0,2010.0,49.0
348,2010.05.18.c,Unprovoked,vietnam,20 to 30kg shark,18-May-2010,May,n,F,Unspecified,58.0,2010.0,58.0
349,2010.05.18.b,Unprovoked,vietnam,20 to 30kg shark,18-May-2010,May,n,F,Unspecified,60.0,2010.0,60.0
350,2010.05.01,Unprovoked,usa,4' shark,01-May-2010,May,n,F,Unspecified,10.0,2010.0,10.0
351,2010.04.28,Provoked,usa,"Lemon shark, 6'",28-Apr-2010,Apr,n,M,Lemon,29.0,2010.0,29.0
352,2010.04.19,Unprovoked,usa,14' shark,19-Apr-2010,Apr,n,M,Unspecified,25.0,2010.0,25.0
353,2010.04.13,Unprovoked,south africa,2 m shark,13-Apr-2010,Apr,n,M,Unspecified,35.0,2010.0,35.0
354,2010.04.04,Unprovoked,egypt,"Oceanic whitetip shark, 6'",04-Apr-2010,Apr,n,M,White,24.0,2010.0,24.0
355,2010.03.27,Unprovoked,reunion,1.5 m shark, 27-Mar-2010,Mar,n,M,Unspecified,34.0,2010.0,34.0
356,2010.02.13,Unprovoked,australia,2 m shark,13-Feb-2010,Feb,n,F,Unspecified,60.0,2010.0,60.0
357,2010.02.11,Unprovoked,australia,"Wobbegong shark, 1.6m",11-Feb-2010,Feb,n,M,Unspecified,46.0,2010.0,46.0
358,2010.02.06.b,Unprovoked,australia,"White shark, 2.5m",06-Feb-2010,Feb,n,M,White,18.0,2010.0,18.0
359,2010.02.04,Invalid,guam,Invalid,04-Feb-2010,Feb,,M,Unspecified,31.0,2010.0,31.0
360,2010.02.01,Provoked,new zealand,1.5 m shark,01-Feb-2010,Feb,n,F,Unspecified,14.0,2010.0,14.0
361,2010.01.12,Unprovoked,south africa,White shark,12-Jan-2010,Jan,y,M,White,37.0,2010.0,37.0
362,2009.12.22,Unprovoked,mozambique,"Zambesi shark, 2m ",22-Dec-2009,Dec,n,M,Unspecified,27.0,2009.0,27.0
363,2009.12.20.a,Unprovoked,australia,"Bull shark, 3m",20-Dec-2009,Dec,n,M,Bull,18.0,2009.0,18.0
364,2009.12.06,Provoked,usa,"Sandtiger shark, 8'",05-Dec-2009,Dec,n,M,Tiger,58.0,2009.0,58.0
365,2009.11.25,Invalid,usa,Shark involvement not confirmed,25-Nov-2009,Nov,,M,Unspecified,49.0,2009.0,49.0
366,2009.11.24,Unprovoked,usa,6' shark,24-Nov-2009,Nov,n,M,Unspecified,10.0,2009.0,10.0
367,2009.11.16.b,Unprovoked,usa,Thresher shark,16-Nov-2009,Nov,n,M,Unspecified,31.0,2009.0,31.0
368,2009.11.11,Unprovoked,usa,4' shark,11-Nov-2009,Nov,n,M,Unspecified,18.0,2009.0,18.0
369,2009.11.08,Unprovoked,australia,2 m shark,08-Nov-2009,Nov,n,M,Unspecified,25.0,2009.0,25.0
370,2009.10.30,Boating,australia,"White shark, 4m",30-Oct-2009,Oct,n,M,White,27.0,2009.0,27.0
371,2009.10.19,Unprovoked,usa,6' to 8' shark,19-Oct-2009,Oct,n,M,Unspecified,54.0,2009.0,54.0
372,2009.10.17,Provoked,scotland,Angel shark,17-Oct-2009,Oct,n,M,Unspecified,23.0,2009.0,23.0
373,2009.10.02,Provoked,united kingdom,Spurdog,02-Oct-2009,Oct,n,M,Unspecified,39.0,2009.0,39.0
374,2009.09.12,Invalid,usa,Shark involvement prior to death not confirmed,12-Sep-2009,Sep,y,M,Unspecified,60.0,2009.0,60.0
375,2009.08.29,Unprovoked,south africa,White shark,29-Aug-2009,Aug,y,M,White,25.0,2009.0,25.0
376,2009.08.25,Unprovoked,usa,"White shark, 5' to 6' juvenile ",25-Aug-2009,Aug,n,F,White,22.0,2009.0,22.0
377,2009.08.01,Unprovoked,usa,Bull shark?,01-Aug-2009,Aug,n,M,Bull,56.0,2009.0,56.0
378,2009.07.04,Provoked,usa,"Nurse shark, 6'",04-Jul-2009,Jul,n,F,Unspecified,43.0,2009.0,43.0
379,2009.06.27,Unprovoked,australia,"Thought to involve a Bronze whale shark, 2m",27-Jun-2009,Jun,n,M,Unspecified,52.0,2009.0,52.0
380,2009.06.16,Invalid,usa,"Shark involvement probable, but not confirmed",16-Jun-2009,Jun,,M,Unspecified,14.0,2009.0,14.0
381,2009.06.01,Unprovoked,egypt,"Oceanic whitetip shark, 2.5 to 3m",01-Jun-2009,Jun,y,F,White,50.0,2009.0,50.0
382,2009.05.31,Provoked,taiwan,80 kg shark,31-May-2009,May,n,M,Unspecified,46.0,2009.0,46.0
383,2009.05.17,Unprovoked,usa,blacktip or spinner shark,17-May-2009,May,n,M,Unspecified,31.0,2009.0,31.0
384,2009.05.16.b,Unprovoked,usa,blacktip or spinner shark,16-May-2009,May,n,M,Unspecified,49.0,2009.0,49.0
385,2009.05.16.a,Unprovoked,usa,blacktip or spinner shark,16-May-2009,May,n,M,Unspecified,55.0,2009.0,55.0
386,2009.05.12,Provoked,guam,"Blacktip shark, 4'",12-May-2009,May,n,M,Unspecified,27.0,2009.0,27.0
387,2009.04.17.,Unprovoked,usa,2' to 3' shark,17-Apr-2009,Apr,n,M,Unspecified,31.0,2009.0,31.0
388,2009.04.12,Unprovoked,australia,2' to 3' shark,12-Apr-2009,Apr,n,M,Unspecified,40.0,2009.0,40.0
389,2009.04.06.b,Invalid,south africa,Shark involvement not confirmed,06-Apr-2009,Apr,,M,Unspecified,24.0,2009.0,24.0
390,2009.03.20,Unprovoked,australia,Bronze whaler shark?,20-Mar-2009,Mar,n,M,Unspecified,17.0,2009.0,17.0
391,2009.03.18.a,Unprovoked,usa,3' to 4' shark,18-Mar-2009,Mar,n,F,Unspecified,17.0,2009.0,17.0
392,2009.03.17,Unprovoked,usa,Thought to involve a cookie cutter shark,17-Mar-2009,Mar,n,M,Unspecified,61.0,2009.0,61.0
393,2009.03.02,Provoked,south africa,"Blue shark, 1m",02-Mar-2009,Mar,n,M,Unspecified,40.0,2009.0,40.0
394,2009.03.01.a,Unprovoked,australia,2.6 m shark,01-Mar-2009,Mar,n,M,Unspecified,15.0,2009.0,15.0
395,2009.02.12,Unprovoked,australia,"White shark, 2.5m ",12-Feb-2009,Feb,n,M,White,33.0,2009.0,33.0
396,2009.02.11,Unprovoked,australia,"Bull shark, 2.7 m ",11-Feb-2009,Feb,n,M,Bull,31.0,2009.0,31.0
397,2009.02.07.b,Unprovoked,australia,"White shark, 12' ",07-Feb-2009,Feb,n,M,White,41.0,2009.0,41.0
398,2009.01.25,Unprovoked,cuba,Bull shark,25-Jan-2009,Jan,n,M,Bull,15.0,2009.0,15.0
399,2009.01.24.a,Unprovoked,south africa,Tiger shark,24-Jan-2009,Jan,y,M,Tiger,25.0,2009.0,25.0
400,2009.01.12,Unprovoked,australia,"Dusky shark, 2m",12-Jan-2009,Jan,n,M,Unspecified,24.0,2009.0,24.0
401,2009.01.11.b,Unprovoked,australia,"White shark, 5m",11-Jan-2009,Jan,n,F,White,13.0,2009.0,13.0
402,2009.01.11.a,Unprovoked,australia,"White shark, 3.5m",11-Jan-2009,Jan,n,M,White,31.0,2009.0,31.0
403,2009.01.06,Unprovoked,new zealand,Broadnose sevengill shark,06-Jan-2009,Jan,n,M,Unspecified,49.0,2009.0,49.0
404,2008.12.27.b,Boating,australia,"White shark, 4m to 5m ",27-Dec-2008,Dec,n,M,White,29.0,2008.0,29.0
405,2008.12.27.a,Unprovoked,australia,4 to 5m white shark,27-Dec-2008,Dec,y,M,White,51.0,2008.0,51.0
406,2008.12.10,Provoked,south africa,"Raggedtooth shark, 2m",10-Dec-2008,Dec,n,M,Unspecified,15.0,2008.0,15.0
407,2008.10.22,Provoked,australia,"Grey nurse shark, 3m",22-Oct-2008,Oct,n,M,Grey,34.0,2008.0,34.0
408,2008.10.06,Unprovoked,croatia,5 m white shark,06-Oct-2008,Oct,n,M,White,43.0,2008.0,43.0
409,2008.09.28.a,Unprovoked,usa,+3' shark,28-Sep-2008,Sep,n,M,Unspecified,40.0,2008.0,40.0
410,2008.09.15,Provoked,australia,Bronze whaler shark,15-Sep-2008,Sep,n,M,Unspecified,43.0,2008.0,43.0
411,2008.09.09,Unprovoked,usa,Tiger shark,09-Sep-2008,Sep,n,M,Tiger,40.0,2008.0,40.0
412,2008.09.07,Unprovoked,australia,3 m shark,07-Sep-2008,Sep,n,M,Unspecified,51.0,2008.0,51.0
413,2008.09.01,Unprovoked,usa,4' shark,01-Sep-2008,Sep,n,M,Unspecified,52.0,2008.0,52.0
414,2008.08.30.b,Invalid,usa,Shark involvement not confirmed,30-Aug-2008,Aug,,M,Unspecified,27.0,2008.0,27.0
415,2008.08.27,Unprovoked,usa,6' shark,27-Aug-2008,Aug,n,M,Unspecified,26.0,2008.0,26.0
416,2008.08.22,Invalid,usa,Shark involvement not confirmed,24-Aug-2008,Aug,,F,Unspecified,20.0,2008.0,20.0
417,2008.08.16,Unprovoked,usa,8' bull shark or Caribbean reef shark,16-Aug-2008,Aug,n,F,Bull,38.0,2008.0,38.0
418,2008.07.30.R,Unprovoked,australia,8' white shark or 7-gill shark,30-Jul-2008,Jul,n,M,White,31.0,2008.0,31.0
419,2008.07.24.a,Unprovoked,usa,3' to 4' shark,24-Jul-2008,Jul,n,F,Unspecified,8.0,2008.0,8.0
420,2008.07.19,Unprovoked,usa,4' shark,19-Jul-2008,Jul,n,M,Unspecified,16.0,2008.0,16.0
421,2008.06.28.c,Invalid,usa,Shark involvement prior to death not confirmed,28-Jun-2008,Jun,,M,Unspecified,53.0,2008.0,53.0
422,2008.06.28.a,Unprovoked,south africa,"White shark, 2m",28-Jun-2008,Jun,n,M,White,46.0,2008.0,46.0
423,2008.06.26.a,Unprovoked,usa,4.5 to 5' shark,26-Jun-2008,Jun,n,M,Unspecified,37.0,2008.0,37.0
424,2008.06.21,Boating,usa,"White shark, 15'",21-Jun-2008,Jun,n,F,White,40.0,2008.0,40.0
425,2008.06.01.b,Unprovoked,usa,5' shark,01-Jun-2008,Jun,n,F,Unspecified,15.0,2008.0,15.0
426,2008.06.01.a,Unprovoked,brazil,Bull shark,01-Jun-2008,Jun,n,M,Bull,14.0,2008.0,14.0
427,2008.05.24.a,Unprovoked,mexico,3 m shark,24-May-2008,May,n,M,Unspecified,49.0,2008.0,49.0
428,2008.05.10,Unprovoked,australia,"White shark, 4m",10-May-2008,May,n,M,White,37.0,2008.0,37.0
429,2008.05.07.b,Unprovoked,new caledonia,2 small bull sharks,07-May-2008,May,n,M,Bull,40.0,2008.0,40.0
430,2008.04.28.b,Unprovoked,mexico,Tiger shark,28-Apr-2008,Apr,y,M,Tiger,24.0,2008.0,24.0
431,2008.04.28.a,Unprovoked,usa,4' shark,28-Apr-2008,Apr,n,M,Unspecified,18.0,2008.0,18.0
432,2008.04.26.b,Unprovoked,new caledonia,"Bull shark, 1.8m",26-Apr-2008,Apr,n,M,Bull,32.0,2008.0,32.0
433,2008.04.25,Unprovoked,usa,"White shark, 12' to 15'",25-Apr-2008,Apr,y,M,White,25.0,2008.0,25.0
