,case_number,type,country,species_,date,mes,fatal,sexo,especie_cat,age,year,age_limpio
84,2015.12.22,Unprovoked,usa,9' shark,22-Dec-2015,Dec,n,M,Unspecified,25.0,2015.0,25.0
85,2015.12.21.b,Unprovoked,australia,"Bronze whaler shark, 6'",21-Dec-2015,Dec,n,M,Unspecified,43.0,2015.0,43.0
86,2015.11.20,Unprovoked,ecuador,Galapagos shark,20-Nov-2015,Nov,n,M,Unspecified,55.0,2015.0,55.0
87,2015.11.10,Unprovoked,australia,"Bull shark, 2.8 to 3.1 m",10-Nov-2015,Nov,n,M,Bull,20.0,2015.0,20.0
88,2015.12.23,Invalid,usa,Shark involvement not confirmed,07-Nov-2015,Nov,,F,Unspecified,9.0,2015.0,9.0
89,2015.11.01.b,Unprovoked,usa,3' to 5' shark,01-Nov-2015,Nov,n,F,Unspecified,28.0,2015.0,28.0
90,2015.10.25,Unprovoked,south africa,"White shark, 3 to 3.5m ",25-Oct-2015,Oct,n,M,White,42.0,2015.0,42.0
91,2015.10.21,Unprovoked,usa,5' shark,21-Oct-2015,Oct,n,M,Unspecified,21.0,2015.0,21.0
92,2015.10.19,Unprovoked,usa,"Spinner shark, 5'",19-Oct-2015,Oct,n,M,Unspecified,21.0,2015.0,21.0
93,2015.10.17.b,Invalid,usa,No shark involvement,17-Oct-2015,Oct,,M,Unspecified,32.0,2015.0,32.0
94,2015.10.17.a,Unprovoked,usa,"Tiger shark, 7'",17-Oct-2015,Oct,n,M,Tiger,44.0,2015.0,44.0
95,2015.10.09.a,Unprovoked,usa,"Tiger shark, 13' ",09-Oct-2015,Oct,n,M,Tiger,25.0,2015.0,25.0
96,2015.10.05.a,Unprovoked,usa,4' to 5' shark,05-Oct-2015,Oct,n,M,Unspecified,13.0,2015.0,13.0
97,2015.10.04,Unprovoked,usa,"Blacktip shark, 4' to 5'",04-Oct-2015,Oct,n,M,Unspecified,14.0,2015.0,14.0
98,2015.09.29,Unprovoked,usa,"Blacktip shark, 5' to 6'",29-Sep-2015,Sep,n,M,Unspecified,22.0,2015.0,22.0
99,2015.09.20.d,Unprovoked,usa,juvenile shark,20-Sep-2015,Sep,n,M,Unspecified,14.0,2015.0,14.0
100,2015.09.20.c,Unprovoked,usa,"Tiger shark, 13'",20-Sep-2015,Sep,n,M,Tiger,27.0,2015.0,27.0
101,2015.09.20.b,Unprovoked,usa,4' shark,20-Sep-2015,Sep,n,M,Unspecified,12.0,2015.0,12.0
102,2015.09.08,Unprovoked,australia,6' shark,08-Sep-2015,Sep,n,M,Unspecified,42.0,2015.0,42.0
103,2015.09.06,Unprovoked,usa,"White shark, 11' to 12'",06-Sep-2015,Sep,n,F,White,50.0,2015.0,50.0
104,2015.09.05,Provoked,usa,Hammerhead shark.,05-Sep-2015,Sep,n,M,Unspecified,29.0,2015.0,29.0
105,2015.09.04,Unprovoked,australia,"White shark, 2.5 m",04-Sep-2015,Sep,n,M,White,62.0,2015.0,62.0
106,2015.09.01,Unprovoked,thailand,small shark,01-Sep-2015,Sep,n,F,Unspecified,37.0,2015.0,37.0
107,2015.08.29.b,Unprovoked,usa,"White shark, 11' to 12'",29-Aug-2015,Aug,n,F,White,54.0,2015.0,54.0
108,2015.08.29.a,Unprovoked,usa,"White shark, 10' to 12' ",29-Aug-2015,Aug,n,M,White,21.0,2015.0,21.0
109,2015.08.20,Unprovoked,usa,4' shark,20-Aug-2015,Aug,n,M,Unspecified,15.0,2015.0,15.0
110,2015.08.19,Unprovoked,usa,3' shark,19-Aug-2015,Aug,n,F,Unspecified,10.0,2015.0,10.0
111,2015.08.18.b,Boating,usa,"White shark, 13'",18-Aug-2015,Aug,n,M,White,22.0,2015.0,22.0
112,2015.08.18.a,Invalid,spain,Shark involvement not confirmed,18-Aug-2015,Aug,,M,Unspecified,10.0,2015.0,10.0
113,2015.08.10,Provoked,usa,Hammerhead shark. 6' to 7',10-Aug-2015,Aug,n,M,Unspecified,57.0,2015.0,57.0
114,2015.07.31,Unprovoked,australia,White shark,31-Jul-2015,Jul,n,M,White,52.0,2015.0,52.0
115,2015.07.26.b,Unprovoked,usa,"Blacktip or spinner shark, 4'",26-Jul-2015,Jul,n,M,Unspecified,25.0,2015.0,25.0
116,2015.07.26.a,Invalid,usa,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed",26-Jul-2015,Jul,,F,Unspecified,35.0,2015.0,35.0
117,2015.07.25,Unprovoked,australia,"White shark, 3.9 to 4.2 m",25-Jul-2015,Jul,y,M,White,46.0,2015.0,46.0
118,2015.07-10,Unprovoked,usa,"White shark, 7'",10-Jul-2015,Jul,n,M,White,38.0,2015.0,38.0
119,2015.07.03,Unprovoked,australia,White shark,03-Jul-2015,Jul,n,M,White,52.0,2015.0,52.0
120,2015.07.02,Unprovoked,australia,White shark,02-Jul-2015,Jul,n,M,White,32.0,2015.0,32.0
121,2015.07.01,Unprovoked,usa,6' to 7' shark,01-Jul-2015,Jul,n,M,Unspecified,25.0,2015.0,25.0
122,2015.06.30.a,Unprovoked,usa,4' to 5' shark,30-Jun-2015,Jun,n,M,Unspecified,12.0,2015.0,12.0
123,2015.06.27.b,Unprovoked,usa,Bull shark,27-Jun-2015,Jun,n,M,Bull,18.0,2015.0,18.0
124,2015.06.27.a,Unprovoked,south africa,White shark,27-Jun-2015,Jun,n,M,White,19.0,2015.0,19.0
125,2015.06.26.b,Unprovoked,south africa,"White shark, 2m to 3 m",26-Jun-2015,Jun,n,M,White,23.0,2015.0,23.0
126,2015.06.26.a,Unprovoked,usa,4' shark,26-Jun-2015,Jun,n,M,Unspecified,43.0,2015.0,43.0
127,2015.06.24.b,Unprovoked,usa,Sandtiger shark,24-Jun-2015,Jun,n,M,Tiger,6.0,2015.0,6.0
128,2015.06.24.a,Invalid,australia,White shark,24-Jun-2015,Jun,n,F,White,37.0,2015.0,37.0
129,2015.06.14.b,Unprovoked,usa,Bull shark,14-Jun-2015,Jun,n,M,Bull,16.0,2015.0,16.0
130,2015.06.14.a,Unprovoked,usa,Bull shark,14-Jun-2015,Jun,n,F,Bull,12.0,2015.0,12.0
131,2015.06.11,Unprovoked,usa,4' shark,11-Jun-2015,Jun,n,F,Unspecified,13.0,2015.0,13.0
132,2015.06.07,Unprovoked,usa,"Bull shark, 5'",07-Jun-2015,Jun,n,M,Bull,11.0,2015.0,11.0
133,2015.06.01,Unprovoked,reunion,"Bull shark, 2.5 m",01-Jun-2015,Jun,n,M,Bull,47.0,2015.0,47.0
134,2015.05.25,Unprovoked,french polynesia,1m to 1.2 m shark,25-May-2015,May,n,M,Unspecified,19.0,2015.0,19.0
135,2015.05.20,Unprovoked,usa,5' shark,20-May2015,May2015,n,M,Unspecified,18.0,2015.0,18.0
136,2015.05.02,Unprovoked,south africa,"White shark, 3.5 m",02-May-2015,May,n,M,White,29.0,2015.0,29.0
137,2015.04.26,Unprovoked,usa,3- to 4-foot shark,26-Apr-2015,Apr,n,M,Unspecified,63.0,2015.0,63.0
138,2015.04.25,Unprovoked,australia,"White shark, 6 m",25-Apr-2015,Apr,n,M,White,26.0,2015.0,26.0
139,2015.04.24.c,Unprovoked,australia,"White shark, 3 m",24-Jun-2015,Jun,n,M,White,25.0,2015.0,25.0
140,2015.04.12,Unprovoked,reunion,Bull shark,12-Apr-2015,Apr,y,M,Bull,13.0,2015.0,13.0
141,2015.04.03,Unprovoked,usa,Bull shark,03-Apr-2015,Apr,n,M,Bull,25.0,2015.0,25.0
142,2015.03.31,Invalid,brazil,No shark involvement,31-Mar-2015,Mar,,M,Unspecified,23.0,2015.0,23.0
143,2015.03.18,Unprovoked,usa,"Tiger shark, 8 to 12 feet",18-Mar-2015,Mar,n,M,Tiger,58.0,2015.0,58.0
144,2015.03.16,Unprovoked,french polynesia,Blacktip shark,16-Mar-2015,Mar,n,M,Unspecified,9.0,2015.0,9.0
145,2015.02.14,Unprovoked,reunion,"Tiger shark, 3.5 m",14-Feb-2015,Feb,y,F,Tiger,22.0,2015.0,22.0
146,2015.02.09,Unprovoked,australia,3.5 to 4 m shark,09-Feb-2015,Feb,y,M,Unspecified,41.0,2015.0,41.0
147,2015.02.08,Unprovoked,australia,2 m to  3 m shark,08-Feb-2015,Feb,n,M,Unspecified,35.0,2015.0,35.0
148,2015.01.30,Boating,australia,"Bull shark, 1.3 m",30-Jan-2015,Jan,n,M,Bull,57.0,2015.0,57.0
149,2015.01.27,Provoked,usa,4' shark,27-Jan-2015,Jan,n,M,Unspecified,20.0,2015.0,20.0
150,2015.01.06,Unprovoked,bahamas,White shark or oceanic whitetip shark,06-Jan-2015,Jan,n,F,White,34.0,2015.0,34.0
151,2015.01.03,Unprovoked,south africa,"Raggedtooth shark, 1.3 m",03-Jan-2015,Jan,n,M,Unspecified,15.0,2015.0,15.0
152,2014.12.29.a,Unprovoked,australia,"White shark, 4 to 5 m",29-Dec-2014,Dec,y,M,White,17.0,2014.0,17.0
153,2014.12.28.b,Unprovoked,usa,"White shark, 8' to 10'",28-Dec-2014,Dec,n,M,White,50.0,2014.0,50.0
154,2014.12.28.a,Provoked,australia,1.5 m shark,28-Dec-2014,Dec,n,M,Unspecified,40.0,2014.0,40.0
155,2014.12.15,Unprovoked,australia,Tiger shark,15-Dec-2014,Dec,y,M,Tiger,17.0,2014.0,17.0
156,2014.11.16,Unprovoked,usa,2' shark,16-Nov-2014,Nov,n,M,Unspecified,44.0,2014.0,44.0
157,2014.11.13,Unprovoked,usa,1.5 m shark,13-Nov-2014,Nov,n,M,Unspecified,53.0,2014.0,53.0
158,2014.10.31,Unprovoked,usa,"Tiger shark, 12'",31-Oct-2014,Oct,n,F,Tiger,34.0,2014.0,34.0
159,2014.10.17,Unprovoked,australia,1 m shark,17-Oct-2014,Oct,n,F,Unspecified,13.0,2014.0,13.0
160,2014.10.05.b,Unprovoked,usa,Blacktip shark,05-Oct-2014,Oct,n,M,Unspecified,29.0,2014.0,29.0
161,2014.10.05.a,Unprovoked,usa,Blacktip shark,05-Oct-2014,Oct,n,M,Unspecified,15.0,2014.0,15.0
162,2014.10.02.b,Unprovoked,usa,8' to 10' shark,02-Oct-2014,Oct,n,M,Unspecified,28.0,2014.0,28.0
163,2014.10.02.a,Unprovoked,australia,"2 white shark: 13' & 9""8""",02-Oct-2014,Oct,n,M,White,23.0,2014.0,23.0
164,2014.09.09,Unprovoked,australia,7' shark,09-Sep-2014,Sep,y,M,Unspecified,50.0,2014.0,50.0
165,2014.09.06,Unprovoked,usa,Bull shark,06-Sep-2014,Sep,n,M,Bull,43.0,2014.0,43.0
166,2014.09.03,Boating,usa,"White shark, 12' to 14'",03-Sep-2014,Sep,n,F,White,20.0,2014.0,20.0
167,2014.09.02,Provoked,usa,3' to 4' shark,02-Sep-2014,Sep,n,M,Unspecified,52.0,2014.0,52.0
168,2014.08.31,Unprovoked,usa,Spinner shark,31-Aug-2014,Aug,n,F,Unspecified,13.0,2014.0,13.0
169,2014.08.08,Unprovoked,usa," Bull shark, 5'",08-Aug-2014,Aug,n,M,Bull,7.0,2014.0,7.0
170,2014.08.06,Unprovoked,usa,4' tp 5' shark,06-Aug-2014,Aug,n,M,Unspecified,10.0,2014.0,10.0
171,2014.08.01,Unprovoked,south africa,White shark,01-Aug-2014,Aug,n,M,White,20.0,2014.0,20.0
172,2014.07.16,Unprovoked,usa,6' to 8' shark,16-Jul-2014,Jul,n,M,Unspecified,61.0,2014.0,61.0
173,2014.07.14,Unprovoked,usa,4' shark,14-Jul-2014,Jul,n,M,Unspecified,39.0,2014.0,39.0
174,2014.07.13,Invalid,bahamas,Shark involvement not confirmed,13-Jul-2014,Jul,,M,Unspecified,63.0,2014.0,63.0
175,2014.07.03,Unprovoked,usa,4' to 5' shark,3-Jul-2014,Jul,n,M,Unspecified,19.0,2014.0,19.0
176,2014.06.09.b,Unprovoked,usa," Sandbar shark, 3' to 4'",09-Jun-2014,Jun,n,M,Unspecified,16.0,2014.0,16.0
177,2014.06.09.a,Unprovoked,australia,"Bronze whaler shark, 1.5m",09-Jun-2014,Jun,n,M,Unspecified,39.0,2014.0,39.0
178,2014.06.01.c,Unprovoked,usa,Bull shark,01-Jun-2014,Jun,n,F,Bull,22.0,2014.0,22.0
179,2014.05.14,Unprovoked,australia," white shark, 15' ",14-May-2014,May,n,M,White,35.0,2014.0,35.0
180,2014.05.06,Unprovoked,usa,4' to 5' shark,06-May-2014,May,n,F,Unspecified,40.0,2014.0,40.0
181,2014.05.01,Unprovoked,usa,3' shark,01-May-2014,May,n,M,Unspecified,23.0,2014.0,23.0
182,2014.04.03,Unprovoked,australia,3 m to 4 m white shark,03-Apr-2014,Apr,y,F,White,63.0,2014.0,63.0
183,2014.03.29,Invalid,australia,Shark involvement prior to death not confirmed,29-Mar-2014,Mar,,M,Unspecified,38.0,2014.0,38.0
184,2014.03.22.b,Unprovoked,south africa,2 m shark,22-Mar-2014,Mar,y,M,Unspecified,25.0,2014.0,25.0
185,2014.02.20,Unprovoked,french polynesia,Blacktip reef shark ,20-Feb-2014,Feb,n,M,Unspecified,21.0,2014.0,21.0
186,2014.02.07,Unprovoked,new zealand,7-gill shark?,07-Feb-2014,Feb,n,M,Unspecified,28.0,2014.0,28.0
187,2013.12.25,Unprovoked,new caledonia,Reported to involve a bull shark,25-Dec-2013,Dec,n,M,Bull,37.0,2013.0,37.0
188,2013.12.16,Unprovoked,south africa,"White shark, 3m ",16-Dec-2013,Dec,n,M,White,19.0,2013.0,19.0
189,2013.12.11,Unprovoked,usa,"Tiger shark, 10' to 12'",11-Dec-2013,Dec,n,M,Tiger,29.0,2013.0,29.0
190,2013.12.10,Unprovoked,usa,4' to 6' shark,10-Dec-2013,Dec,n,M,Unspecified,30.0,2013.0,30.0
191,2013.12.05,Unprovoked,australia," Wobbegong shark, 1.6 to 1.8m ",05-Dec-2013,Dec,n,M,Unspecified,26.0,2013.0,26.0
192,2013.11.30,Unprovoked,australia,"Tiger shark, 3m ",30-Nov-2013,Nov,y,M,Tiger,19.0,2013.0,19.0
193,2013.11.23.a,Unprovoked,australia,Thought to involve a white shark,23-Nov-2013,Nov,y,M,White,35.0,2013.0,35.0
194,2013.11.22,Unprovoked,usa,"White shark, 10 '",22-Nov-2013,Nov,n,M,White,25.0,2013.0,25.0
195,2013.10.31,Unprovoked,usa,Tiger shark,31-Oct-2013,Oct,n,M,Tiger,46.0,2013.0,46.0
196,2013.10.28,Unprovoked,australia,"Blacktip reef shark, 1m",28-Oct-2013,Oct,n,F,Unspecified,60.0,2013.0,60.0
197,2013.10.26.b,Unprovoked,reunion,Thought to involve a bull shark,26-Oct-2013,Oct,n,M,Bull,24.0,2013.0,24.0
198,2013.10.24,Unprovoked,australia,Wobbegong shark,24-Oct-2013,Oct,n,M,Unspecified,41.0,2013.0,41.0
199,2013.10.23,Unprovoked,usa,"Whitetip reef shark, 4' to 6'",23-Oct-2013,Oct,n,M,White,45.0,2013.0,45.0
200,2013.10.20,Unprovoked,usa,Tiger shark,20-Oct-2013,Oct,n,M,Tiger,25.0,2013.0,25.0
201,2013.10.19,Unprovoked,usa,Nurse shark?,19-Oct-2013,Oct,n,M,Unspecified,6.0,2013.0,6.0
202,2013.10.11,Unprovoked,south africa,White shark,11-Oct-2013,Oct,y,M,White,25.0,2013.0,25.0
203,2013.10.08,Unprovoked,australia,White shark,08-Oct-2013,Oct,n,M,White,55.0,2013.0,55.0
204,2013.10.05,Unprovoked,usa,"White shark, 8' to 10'",06-Oct-2013,Oct,n,M,White,45.0,2013.0,45.0
205,2013.09.14,Unprovoked,usa,Bull shark, 14-Sep-2013,Sep,n,M,Bull,21.0,2013.0,21.0
206,2013.09.12,Unprovoked,usa,3' shark, 12-Sep-2013,Sep,n,F,Unspecified,13.0,2013.0,13.0
207,2013.09.07.b,Provoked,usa,3' shark, 07-Sep-2013,Sep,n,M,Unspecified,43.0,2013.0,43.0
208,2013.09.07.a,Unprovoked,usa,3' shark, 07-Sep-2013,Sep,n,M,Unspecified,25.0,2013.0,25.0
209,2013.09.01.a,Unprovoked,usa,4' shark, 01-Sep-2013,Sep,n,M,Unspecified,9.0,2013.0,9.0
210,2013.08.14,Unprovoked,usa,Tiger shark?, 14-Aug-2013,Aug,y,F,Tiger,20.0,2013.0,20.0
211,2013.08.11,Unprovoked,usa,"Bull shark, 8'",11-Aug-2013,Aug,n,M,Bull,10.0,2013.0,10.0
212,2013.08.05,Unprovoked,usa,"Bull shark, 6' to 8'", 05-Aug-2013,Aug,n,M,Bull,17.0,2013.0,17.0
213,2013.07.29.c,Unprovoked,bahamas,6' shark,28-Jul-2013,Jul,n,M,Unspecified,40.0,2013.0,40.0
214,2013.07.29.a,Unprovoked,usa,"Tiger shark, 8' to 10' ",  29-Jul-2013,Jul,n,M,Tiger,18.0,2013.0,18.0
215,2013.07.28.b,Unprovoked,bahamas,Nurse shark,28-Jul-2013,Jul,n,M,Unspecified,64.0,2013.0,64.0
216,2013.06.25.a,Unprovoked,usa,4' to 5' shark,25-Jun-2013,Jun,n,M,Unspecified,14.0,2013.0,14.0
