,case_number,year,type,country,age,species_,date,mes,fatal,sexo
61,2016.07.15.b,2016,Unprovoked,usa,61,"White shark, 10' to 12'",15-Jul-2016,Jul,n,M
62,2016.07.07.b,2016,Provoked,usa,59,dogfish shark,07-Jul-2016,Jul,n,M
63,2016.07.04,2016,Provoked,australia,34,Tawny nurse shark,04-Jul-2016,Jul,n,M
64,2016.06.21.b,2016,Unprovoked,usa,42,3' to 5' shark,21-Jun-2016,Jun,n,M
65,2016.06.14,2016,Unprovoked,usa,6,3' to 4' shark,14-Jun-2016,Jun,n,F
66,2016.06.11,2016,Unprovoked,usa,19,3' shark,11-Jun-2016,Jun,n,M
67,2016.06.07,2016,Invalid,usa,27,Said to involve an 8' shark but more likely damage caused by debris,07-Jun-2016,Jun,,M
68,2016.06.05.a,2016,Unprovoked,australia,60,3+ m shark,05-Jun-2016,Jun,y,F
69,2016.06.04,2016,Unprovoked,egypt,23,Mako shark,04-Jun-2016,Jun,n,M
70,2016.05.31,2016,Unprovoked,australia,29,White shark,31-May-2016,May,y,M
71,2016.05.29.a,2016,Unprovoked,usa,13,5' shark,29-May-2016,May,n,M
72,2016.05.21.b,2016,Unprovoked,usa,22,"Bull shark, 4' to 5'",21-May-2016,May,n,F
73,2016.05.18,2016,Unprovoked,usa,48,"Blacktip shark, 4'",18-May-2016,May,n,M
74,2016.05.15,2016,Provoked,usa,23,"Nurse shark, 2'",15-May-2016,May,n,F
75,2016.05.02,2016,Provoked,new zealand,39,"Mako shark, 1.5 m [5'] ",02-May-2016,May,n,M
76,2016.04.25,2016,Unprovoked,indonesia,24,"Bull shark, 6'",25-Apr-2016,Apr,n,M
77,2016.04.19,2016,Unprovoked,australia,12,Wobbegong shark,19-Apr-2016,Apr,n,M
78,2016.04.18.b,2016,Provoked,french polynesia,22,"Grey reef shark, 2 m",18-Apr-2016,Apr,,M
79,2016.04.18.a,2016,Provoked,french polynesia,26,"Grey reef shark, 2 m",18-Apr-2016,Apr,n,M
80,2016.04.09,2016,Unprovoked,new caledonia,69,"Tiger shark, 2.5 m",09-Apr-2016,Apr,y,F
81,2016.01.23,2016,Unprovoked,usa,48,"Tiger shark, 14'",23-Jan-2016,Jan,n,M
82,2016.01.05,2016,Unprovoked,australia,11,Blacktip shark,05-Jan-2016,Jan,n,M
83,2016.01.02,2016,Unprovoked,australia,31,3 m shark,02-Jan-2016,Jan,n,M
84,2015.12.22,2015,Unprovoked,usa,71,9' shark,22-Dec-2015,Dec,n,M
85,2015.12.21.b,2015,Unprovoked,australia,43,"Bronze whaler shark, 6'",21-Dec-2015,Dec,n,M
86,2015.11.20,2015,Unprovoked,ecuador,55,Galapagos shark,20-Nov-2015,Nov,n,M
87,2015.11.10,2015,Unprovoked,australia,20,"Bull shark, 2.8 to 3.1 m",10-Nov-2015,Nov,n,M
88,2015.12.23,2015,Invalid,usa,9,Shark involvement not confirmed,07-Nov-2015,Nov,,F
89,2015.11.01.b,2015,Unprovoked,usa,28,3' to 5' shark,01-Nov-2015,Nov,n,F
90,2015.10.25,2015,Unprovoked,south africa,42,"White shark, 3 to 3.5m ",25-Oct-2015,Oct,n,M
91,2015.10.21,2015,Unprovoked,usa,21,5' shark,21-Oct-2015,Oct,n,M
92,2015.10.19,2015,Unprovoked,usa,21,"Spinner shark, 5'",19-Oct-2015,Oct,n,M
93,2015.10.17.b,2015,Invalid,usa,32,No shark involvement,17-Oct-2015,Oct,,M
94,2015.10.17.a,2015,Unprovoked,usa,44,"Tiger shark, 7'",17-Oct-2015,Oct,n,M
95,2015.10.09.a,2015,Unprovoked,usa,25,"Tiger shark, 13' ",09-Oct-2015,Oct,n,M
96,2015.10.05.a,2015,Unprovoked,usa,13,4' to 5' shark,05-Oct-2015,Oct,n,M
97,2015.10.04,2015,Unprovoked,usa,14,"Blacktip shark, 4' to 5'",04-Oct-2015,Oct,n,M
98,2015.09.29,2015,Unprovoked,usa,22,"Blacktip shark, 5' to 6'",29-Sep-2015,Sep,n,M
99,2015.09.20.d,2015,Unprovoked,usa,14,juvenile shark,20-Sep-2015,Sep,n,M
100,2015.09.20.c,2015,Unprovoked,usa,27,"Tiger shark, 13'",20-Sep-2015,Sep,n,M
101,2015.09.20.b,2015,Unprovoked,usa,12,4' shark,20-Sep-2015,Sep,n,M
102,2015.09.08,2015,Unprovoked,australia,42,6' shark,08-Sep-2015,Sep,n,M
103,2015.09.06,2015,Unprovoked,usa,50,"White shark, 11' to 12'",06-Sep-2015,Sep,n,F
