,case_number,year,type,country,age,species_,date,mes,fatal,sexo
270,2012.05.29,2012,Unprovoked,mexico,46,"Bull shark, 3m",29-May-2012,May,n,M
271,2012.05.23,2012,Unprovoked,usa,22,4' to 5' shark,23-May-2012,May,n,M
272,2012.05.12,2012,Boating,usa,30,White shark,12-May-2012,May,n,M
273,2012.05.06,2012,Unprovoked,usa,15,White shark,06-May-2012,May,n,F
274,2012.04.19.b,2012,Unprovoked,usa,28,5' shark,19-Apr-2012,Apr,n,M
275,2012.04.19.a,2012,Unprovoked,south africa,20,"White shark, 4 m to 5m ",19-Apr-2012,Apr,y,M
276,2012.04.03,2012,Unprovoked,usa,28,"Tiger shark, 10'  ",03-Apr-2012,Apr,n,M
277,2012.03.31,2012,Unprovoked,australia,33,"White shark, 4m ",31-Mar-2012,Mar,y,M
278,2012.03.20,2012,Unprovoked,australia,20,Possibly a bull shark,20-Mar-2012,Mar,n,M
279,2012.03.15,2012,Unprovoked,usa,61,Possibly a 5' to 6' bull shark,15-Mar-2012,Mar,n,M
280,2012.03.14.b,2012,Unprovoked,usa,15,4' to 5' shark,14-Mar-2012,Mar,n,F
281,2012.03.14.a,2012,Unprovoked,usa,17,4' to 5' shark,14-Mar-2012,Mar,n,M
282,2012.03.06.a,2012,Provoked,australia,34,"Tawny nurse shark, 40cm",06-Mar-2012,Mar,n,F
283,2012.03.04,2012,Unprovoked,usa,19,4' shark,04-Mar-2012,Mar,n,M
284,2012.01.19,2012,Unprovoked,australia,26,"Tiger shark, 3m",19-Jan-2012,Jan,n,M
285,2012.01.18.a,2012,Unprovoked,australia,44,"White shark, 2.7 m",18-Jan-2012,Jan,n,M
286,2012.01.15,2012,Unprovoked,south africa,25,Thought to involve a bull shark,15-Jan-2012,Jan,y,M
287,2012.01.03,2012,Unprovoked,australia,28,2 m shark,03-Jan-2012,Jan,n,M
288,2012.01.02,2012,Unprovoked,australia,34,Allegedly a 4 m tiger shark,02-Jan-2012,Jan,n,M
289,2011.12.11,2011,Unprovoked,australia,51,"White shark, 2.5m",11-Dec-2011,Dec,n,M
290,2011.11.28,2011,Unprovoked,australia,10,Wobbegong shark?,28-Nov-2011,Nov,n,M
291,2011.10.22,2011,Unprovoked,australia,32,"White shark, 10'",22-Oct-2011,Oct,y,M
292,2011.10.19,2011,Unprovoked,australia,50,"Port Jackson shark, 1m",19-Oct-2011,Oct,n,M
293,2011.09.30,2011,Invalid,usa,27,No shark involvement,30-Sep-2011,Sep,,M
294,2011.09.28.a,2011,Unprovoked,south africa,43,White shark,28-Sep-2011,Sep,n,M
295,2011.09.24.b,2011,Unprovoked,usa,21,"Bull shark, 6'",24-Sep-2011,Sep,n,M
296,2011.09.16,2011,Unprovoked,usa,25,4' to 6' shark,16-Sep-2011,Sep,n,M
297,2011.09.11.a,2011,Unprovoked,papua new guinea,30,"Tiger shark, 2m",11-Sep-2011,Sep,n,M
298,2011.09.04.a,2011,Unprovoked,australia,21,White shark,04-Sep-2011,Sep,y,M
299,2011.09.02,2011,Unprovoked,usa,19,"6' shark, possibly a blactip or spinner shark",02-Sep-2011,Sep,n,M
300,2011.08.31,2011,Unprovoked,usa,19,6' shark,31-Aug-2011,Aug,n,M
301,2011.08.28.b,2011,Invalid,australia,48,Shark involvement prior to death not confirmed,28-Aug-2011,Aug,,M
302,2011.08.23,2011,Unprovoked,south africa,49,"White shark, >6'",23-Aug-2011,Aug,y,M
303,2011.08.17.c.,2011,Unprovoked,usa,20s,Possibly a 5' to 6' sandtiger shark,17-Aug-2011,Aug,n,F
304,2011.08.17.a,2011,Unprovoked,russia,25,4 m shark,17-Aug-2011,Aug,n,M
305,2011.08.16.c,2011,Unprovoked,french polynesia,32,Grey reef shark ,16-Aug-2011,Aug,n,M
306,2011.08.16.a,2011,Unprovoked,seychelles,30,"Bull shark, 6'",16-Aug-2011,Aug,y,M
307,2011.07.22,2011,Unprovoked,south africa,29,"White shark, 3m to 4m",22-Jul-2011,Jul,n,M
308,2011.06.28,2011,Unprovoked,south africa,22,"Bull shark, 3m female",28-Jun-2011,Jun,n,M
309,2011.06.26,2011,Unprovoked,usa,10,"Bull shark, 6'",26-Jun-2008,Jun,n,F
310,2011.06.12,2011,Unprovoked,usa,28,"Blacktip shark, 4'",12-Jun-2011,Jun,n,M
311,2011.06.06.a,2011,Unprovoked,usa,19,3' to 4' shark,06-Jun-2011,Jun,n,M
312,2011.05.21.b,2011,Unprovoked,south africa,28,Zambesi shark,21-May-2011,May,y,M
313,2011.05.21.a,2011,Unprovoked,new caledonia,15," Tiger shark, 2.8m",21-May-2011,May,y,M
314,2011.04.23,2011,Unprovoked,australia,17,"reef shark, 1.5m",23-Apr-2011,Apr,n,M
315,2011.04.22,2011,Unprovoked,usa,49,1' to 2' shark,22-Apr-2011,Apr,n,M
316,2011.04.16,2011,Unprovoked,new zealand,41,possibly a bronze whaler shark,16-Apr-2011,Apr,n,M
317,2011.03.23,2011,Unprovoked,australia,48,"Bull shark, 2.5m",23-Mar-2011,Mar,n,M
318,2011.03.16,2011,Unprovoked,australia,24,3 m to 4 m shark,16-Mar-2011,Mar,n,F
319,2011.02.28.R,2011,Provoked,australia,36,"Bull shark, 2m",Reported 28-Feb-2011,ReportedFeb,n,M
320,2011.02.23,2011,Unprovoked,new caledonia,21,1.5 m shark,23-Feb-2011,Feb,n,M
321,2011.02.17,2011,Unprovoked,australia,49,White shark x 2,17-Feb-2011,Feb,y,M
322,2011.01.31,2011,Unprovoked,mexico,38,6' shark,31-Jan-2011,Jan,n,F
323,2011.01.26,2011,Unprovoked,bahamas,55,Caribbean reef shark,26-Jan-2011,Jan,n,M
324,2011.01.20,2011,Invalid,australia,7,Shark involvement not confirmed,20-Jan-2011,Jan,,F
325,2010.12.26,2010,Unprovoked,usa,16,6' shark,26-Dec-2010,Dec,n,M
326,2010.12.05,2010,Unprovoked,egypt,70,"Oceanic whitetip shark, 2.5m ",05-Dec-2010,Dec,y,F
327,2010.12.01.b,2010,Unprovoked,egypt,54,Mako shark ,01-Dec-2010,Dec,n,M
328,2010.12.01.a,2010,Unprovoked,egypt,46,Mako shark,01-Dec-2010,Dec,n,M
329,2010.11.30.b,2010,Unprovoked,egypt,70,"Oceanic whitetip shark, 2.5m, female",30-Nov-2010,Nov,n,F
330,2010.11.30.a,2010,Unprovoked,egypt,48,"Oceanic whitetip shark, 2.5m, female",30-Nov-2010,Nov,n,F
331,2010.10.30,2010,Unprovoked,australia,20,White shark,30-Oct-2010,Oct,n,F
332,2010.10.23.b,2010,Unprovoked,usa,30,"Porbeagle shark, 8' ",23-Oct-2010,Oct,n,M
333,2010.10.22,2010,Unprovoked,usa,19,"White shark, 14' to 18' ",22-Oct-2010,Oct,y,M
334,2010.10.09,2010,Unprovoked,australia,22,"Bull shark, 1.4m ",09-Oct-2010,Oct,n,M
335,2010.09.27,2010,Unprovoked,usa,29,White shark,27-Sep-2010,Sep,n,M
336,2010.09.13,2010,Unprovoked,australia,15,2m shark, 13-Sep-2010,Sep,n,M
337,2010.08.17,2010,Unprovoked,australia,31,White shark,17-Aug-2010,Aug,y,M
338,2010.08.02.a,2010,Unprovoked,usa,37,3' to 4' shark,02-Aug-2010,Aug,n,F
339,2010.07.19,2010,Unprovoked,usa,10,Possibly a small blacktip shark,19-Jul-2010,Jul,n,M
340,2010.07.17.b,2010,Unprovoked,usa,13,"Sandtiger shark, 4' to 5'",17-Jul-2010,Jul,n,F
341,2010.07.16.b,2010,Provoked,spain,9,Angel shark,16-Jul-2010,Jul,n,M
342,2010.07.03,2010,Provoked,usa,20,"Blue shark, 7'",03-Jul-2010,Jul,n,M
343,2010.07.02.b,2010,Unprovoked,usa,19,4' shark,02-Jul-2010,Jul,n,M
344,2010.07.02.a,2010,Unprovoked,usa,48,8' shark,02-Jul-2010,Jul,n,M
345,2010.06.15,2010,Unprovoked,vietnam,17,1 m shark,15-Jun-2010,Jun,n,M
346,2010.06.10,2010,Unprovoked,usa,18,4' shark,10-Jun-2010,Jun,n,F
347,2010.05.30,2010,Provoked,usa,49,"Lemon shark, 4'",30-May-2010,May,n,M
348,2010.05.18.c,2010,Unprovoked,vietnam,58,20 to 30kg shark,18-May-2010,May,n,F
349,2010.05.18.b,2010,Unprovoked,vietnam,60,20 to 30kg shark,18-May-2010,May,n,F
350,2010.05.01,2010,Unprovoked,usa,10,4' shark,01-May-2010,May,n,F
351,2010.04.28,2010,Provoked,usa,29,"Lemon shark, 6'",28-Apr-2010,Apr,n,M
352,2010.04.19,2010,Unprovoked,usa,68,14' shark,19-Apr-2010,Apr,n,M
353,2010.04.13,2010,Unprovoked,south africa,35,2 m shark,13-Apr-2010,Apr,n,M
354,2010.04.04,2010,Unprovoked,egypt,24,"Oceanic whitetip shark, 6'",04-Apr-2010,Apr,n,M
355,2010.03.27,2010,Unprovoked,reunion,34,1.5 m shark, 27-Mar-2010,Mar,n,M
356,2010.02.13,2010,Unprovoked,australia,60,2 m shark,13-Feb-2010,Feb,n,F
357,2010.02.11,2010,Unprovoked,australia,46,"Wobbegong shark, 1.6m",11-Feb-2010,Feb,n,M
358,2010.02.06.b,2010,Unprovoked,australia,18,"White shark, 2.5m",06-Feb-2010,Feb,n,M
359,2010.02.04,2010,Invalid,guam,31,Invalid,04-Feb-2010,Feb,,M
360,2010.02.01,2010,Provoked,new zealand,14,1.5 m shark,01-Feb-2010,Feb,n,F
361,2010.01.12,2010,Unprovoked,south africa,37,White shark,12-Jan-2010,Jan,y,M
362,2009.12.22,2009,Unprovoked,mozambique,27,"Zambesi shark, 2m ",22-Dec-2009,Dec,n,M
363,2009.12.20.a,2009,Unprovoked,australia,18,"Bull shark, 3m",20-Dec-2009,Dec,n,M
364,2009.12.06,2009,Provoked,usa,58,"Sandtiger shark, 8'",05-Dec-2009,Dec,n,M
365,2009.11.25,2009,Invalid,usa,49,Shark involvement not confirmed,25-Nov-2009,Nov,,M
366,2009.11.24,2009,Unprovoked,usa,10,6' shark,24-Nov-2009,Nov,n,M
367,2009.11.16.b,2009,Unprovoked,usa,31,Thresher shark,16-Nov-2009,Nov,n,M
368,2009.11.11,2009,Unprovoked,usa,18,4' shark,11-Nov-2009,Nov,n,M
369,2009.11.08,2009,Unprovoked,australia,25,2 m shark,08-Nov-2009,Nov,n,M
370,2009.10.30,2009,Boating,australia,27,"White shark, 4m",30-Oct-2009,Oct,n,M
371,2009.10.19,2009,Unprovoked,usa,54,6' to 8' shark,19-Oct-2009,Oct,n,M
372,2009.10.17,2009,Provoked,scotland,23,Angel shark,17-Oct-2009,Oct,n,M
373,2009.10.02,2009,Provoked,united kingdom,39,Spurdog,02-Oct-2009,Oct,n,M
374,2009.09.12,2009,Invalid,usa,60,Shark involvement prior to death not confirmed,12-Sep-2009,Sep,y,M
375,2009.08.29,2009,Unprovoked,south africa,25,White shark,29-Aug-2009,Aug,y,M
376,2009.08.25,2009,Unprovoked,usa,22,"White shark, 5' to 6' juvenile ",25-Aug-2009,Aug,n,F
377,2009.08.01,2009,Unprovoked,usa,56,Bull shark?,01-Aug-2009,Aug,n,M
378,2009.07.04,2009,Provoked,usa,43,"Nurse shark, 6'",04-Jul-2009,Jul,n,F
379,2009.06.27,2009,Unprovoked,australia,52,"Thought to involve a Bronze whale shark, 2m",27-Jun-2009,Jun,n,M
380,2009.06.16,2009,Invalid,usa,14,"Shark involvement probable, but not confirmed",16-Jun-2009,Jun,,M
381,2009.06.01,2009,Unprovoked,egypt,50,"Oceanic whitetip shark, 2.5 to 3m",01-Jun-2009,Jun,y,F
382,2009.05.31,2009,Provoked,taiwan,46,80 kg shark,31-May-2009,May,n,M
383,2009.05.17,2009,Unprovoked,usa,31,blacktip or spinner shark,17-May-2009,May,n,M
384,2009.05.16.b,2009,Unprovoked,usa,49,blacktip or spinner shark,16-May-2009,May,n,M
385,2009.05.16.a,2009,Unprovoked,usa,55,blacktip or spinner shark,16-May-2009,May,n,M
386,2009.05.12,2009,Provoked,guam,27,"Blacktip shark, 4'",12-May-2009,May,n,M
387,2009.04.17.,2009,Unprovoked,usa,31,2' to 3' shark,17-Apr-2009,Apr,n,M
388,2009.04.12,2009,Unprovoked,australia,40,2' to 3' shark,12-Apr-2009,Apr,n,M
389,2009.04.06.b,2009,Invalid,south africa,24,Shark involvement not confirmed,06-Apr-2009,Apr,,M
390,2009.03.20,2009,Unprovoked,australia,17,Bronze whaler shark?,20-Mar-2009,Mar,n,M
391,2009.03.18.a,2009,Unprovoked,usa,17,3' to 4' shark,18-Mar-2009,Mar,n,F
392,2009.03.17,2009,Unprovoked,usa,61,Thought to involve a cookie cutter shark,17-Mar-2009,Mar,n,M
393,2009.03.02,2009,Provoked,south africa,40,"Blue shark, 1m",02-Mar-2009,Mar,n,M
394,2009.03.01.a,2009,Unprovoked,australia,15,2.6 m shark,01-Mar-2009,Mar,n,M
395,2009.02.12,2009,Unprovoked,australia,33,"White shark, 2.5m ",12-Feb-2009,Feb,n,M
396,2009.02.11,2009,Unprovoked,australia,31,"Bull shark, 2.7 m ",11-Feb-2009,Feb,n,M
397,2009.02.07.b,2009,Unprovoked,australia,41,"White shark, 12' ",07-Feb-2009,Feb,n,M
398,2009.01.25,2009,Unprovoked,cuba,15,Bull shark,25-Jan-2009,Jan,n,M
399,2009.01.24.a,2009,Unprovoked,south africa,25,Tiger shark,24-Jan-2009,Jan,y,M
400,2009.01.12,2009,Unprovoked,australia,24,"Dusky shark, 2m",12-Jan-2009,Jan,n,M
401,2009.01.11.b,2009,Unprovoked,australia,13,"White shark, 5m",11-Jan-2009,Jan,n,F
402,2009.01.11.a,2009,Unprovoked,australia,31,"White shark, 3.5m",11-Jan-2009,Jan,n,M
403,2009.01.06,2009,Unprovoked,new zealand,49,Broadnose sevengill shark,06-Jan-2009,Jan,n,M
404,2008.12.27.b,2008,Boating,australia,29,"White shark, 4m to 5m ",27-Dec-2008,Dec,n,M
405,2008.12.27.a,2008,Unprovoked,australia,51,4 to 5m white shark,27-Dec-2008,Dec,y,M
406,2008.12.10,2008,Provoked,south africa,15,"Raggedtooth shark, 2m",10-Dec-2008,Dec,n,M
407,2008.10.22,2008,Provoked,australia,34,"Grey nurse shark, 3m",22-Oct-2008,Oct,n,M
408,2008.10.06,2008,Unprovoked,croatia,43,5 m white shark,06-Oct-2008,Oct,n,M
409,2008.09.28.a,2008,Unprovoked,usa,40,+3' shark,28-Sep-2008,Sep,n,M
410,2008.09.15,2008,Provoked,australia,43,Bronze whaler shark,15-Sep-2008,Sep,n,M
411,2008.09.09,2008,Unprovoked,usa,40,Tiger shark,09-Sep-2008,Sep,n,M
412,2008.09.07,2008,Unprovoked,australia,51,3 m shark,07-Sep-2008,Sep,n,M
413,2008.09.01,2008,Unprovoked,usa,52,4' shark,01-Sep-2008,Sep,n,M
414,2008.08.30.b,2008,Invalid,usa,27,Shark involvement not confirmed,30-Aug-2008,Aug,,M
415,2008.08.27,2008,Unprovoked,usa,26,6' shark,27-Aug-2008,Aug,n,M
416,2008.08.22,2008,Invalid,usa,20,Shark involvement not confirmed,24-Aug-2008,Aug,,F
417,2008.08.16,2008,Unprovoked,usa,38,8' bull shark or Caribbean reef shark,16-Aug-2008,Aug,n,F
418,2008.07.30.R,2008,Unprovoked,australia,31,8' white shark or 7-gill shark,30-Jul-2008,Jul,n,M
419,2008.07.24.a,2008,Unprovoked,usa,8,3' to 4' shark,24-Jul-2008,Jul,n,F
420,2008.07.19,2008,Unprovoked,usa,16,4' shark,19-Jul-2008,Jul,n,M
421,2008.06.28.c,2008,Invalid,usa,53,Shark involvement prior to death not confirmed,28-Jun-2008,Jun,,M
422,2008.06.28.a,2008,Unprovoked,south africa,46,"White shark, 2m",28-Jun-2008,Jun,n,M
423,2008.06.26.a,2008,Unprovoked,usa,37,4.5 to 5' shark,26-Jun-2008,Jun,n,M
424,2008.06.21,2008,Boating,usa,40,"White shark, 15'",21-Jun-2008,Jun,n,F
425,2008.06.01.b,2008,Unprovoked,usa,15,5' shark,01-Jun-2008,Jun,n,F
426,2008.06.01.a,2008,Unprovoked,brazil,14,Bull shark,01-Jun-2008,Jun,n,M
427,2008.05.24.a,2008,Unprovoked,mexico,49,3 m shark,24-May-2008,May,n,M
428,2008.05.10,2008,Unprovoked,australia,37,"White shark, 4m",10-May-2008,May,n,M
429,2008.05.07.b,2008,Unprovoked,new caledonia,40,2 small bull sharks,07-May-2008,May,n,M
430,2008.04.28.b,2008,Unprovoked,mexico,24,Tiger shark,28-Apr-2008,Apr,y,M
431,2008.04.28.a,2008,Unprovoked,usa,18,4' shark,28-Apr-2008,Apr,n,M
432,2008.04.26.b,2008,Unprovoked,new caledonia,32,"Bull shark, 1.8m",26-Apr-2008,Apr,n,M
433,2008.04.25,2008,Unprovoked,usa,66,"White shark, 12' to 15'",25-Apr-2008,Apr,y,M
434,2008.04.18,2008,Invalid,mexico,32,"Reported by media as shark attack, but shark involvement prior to death was not confirmed",18-Apr-2008,Apr,,M
435,2008.04.17,2008,Invalid,australia,19,Shark involvement not confirmed; thought to be a barracuda bite,17-Apr-2008,Apr,,M
436,2008.04.15,2008,Unprovoked,usa,30,1.5' to 2' shark,15-Apr-2008,Apr,n,M
437,2008.04.08,2008,Unprovoked,australia,16,Bull shark,08-Apr-2008,Apr,y,M
438,2008.03.28.b,2008,Unprovoked,usa,52,4' to 5' shark,28-Mar-2008,Mar,n,M
439,2008.03.23,2008,Unprovoked,usa,13,2.5' shark,23-Mar-2008,Mar,n,M
440,2008.03.15,2008,Unprovoked,usa,8,Shark involvement not confirmed,15-Mar-2008,Mar,n,M
441,2008.03.07,2008,Unprovoked,usa,27,White shark,07-Mar-2008,Mar,n,M
442,2008.02.24,2008,Unprovoked,bahamas,49,"A bull shark, according to some of the divers on the boat",24-Feb-2008,Feb,y,M
443,2008.01.27,2008,Provoked,australia,20,"Mako shark, 90kg",27-Jan-2008,Jan,n,M
444,2007.12.18,2007,Unprovoked,australia,31,2 m shark,18-Dec-2007,Dec,n,M
445,2007.12.14,2007,Invalid,australia,34,Not a shark attack; it was a hoax,14-Dec-2007,Dec,,M
446,2007.12.10,2007,Unprovoked,usa,52,Tiger shark,10-Dec-2007,Dec,n,M
447,2007.11.07,2007,Unprovoked,south africa,14,1.5 to 2 m shark,07-Nov-2007,Nov,n,M
448,2007.11.06,2007,Unprovoked,usa,21,4' to 5' shark,06-Nov-2007,Nov,n,M
449,2007.11.04,2007,Unprovoked,usa,42,5' shark,04-Nov-2007,Nov,n,M
450,2007.11.03,2007,Unprovoked,south africa,37,"White shark, 3m to 4m",03-Nov-2007,Nov,n,M
451,2007.10.29,2007,Unprovoked,usa,32,Tiger shark,29-Oct-2007,Oct,n,M
452,2007.10.15,2007,Unprovoked,australia,52,"White shark, 2.5m ",15-Oct-2007,Oct,n,F
453,2007.10.13,2007,Unprovoked,australia,31,Bronze whaler shark,13-Oct-2007,Oct,n,M
454,2007.10.07,2007,Unprovoked,usa,22,3' to 4' shark,07-Oct-2007,Oct,n,M
455,2007.10.06,2007,Unprovoked,usa,16,"Blacktip shark, 5'",06-Oct-2007,Oct,n,M
456,2007.09.30.a,2007,Unprovoked,new caledonia,23,Tiger shark,30-Sep-2007,Sep,y,F
457,2007.09.28,2007,Unprovoked,bahamas,48,Caribbean reef shark,28-Sep-2007,Sep,n,F
458,2007.09.27.a,2007,Unprovoked,egypt,18 or 20,Oceanic whitetip sharks were in the vicinity,27-Sep-2007,Sep,n,F
459,2007.09.20,2007,Unprovoked,usa,23,3' shark,20-Sep-2007,Sep,n,M
460,2007.09.16.a,2007,Unprovoked,usa,Teen,9.5' shark?,16-Sep-2007,Sep,n,F
461,2007.09.13,2007,Unprovoked,usa,14,"Nurse shark, 2' to 3' ",13-Sep-2007,Sep,n,M
462,2007.09.03.b,2007,Unprovoked,usa,12,"18"" to 24"" shark",03-Sep-2007,Sep,n,F
463,2007.09.03.a,2007,Unprovoked,usa,58,Possibly a spinner shark,03-Sep-2007,Sep,n,M
464,2007.08.28.b,2007,Unprovoked,usa,15,"Tiger shark, 10' to 12' ",28-Aug-2007,Aug,n,M
465,2007.08.28.a,2007,Unprovoked,usa,24,"White shark, 12'",28-Aug-2007,Aug,n,M
466,2007.08.26,2007,Unprovoked,usa,54,3' shark,26-Aug-2007,Aug,n,M
467,2007.08.25,2007,Unprovoked,usa,27,3' shark,25-Aug-2007,Aug,n,M
468,2007.08.19.b,2007,Unprovoked,usa,16,4' to 5' shark,19-Aug-2007,Aug,n,M
469,2007.08.15,2007,Unprovoked,usa,20,Possibly a 6' bull shark,15-Aug-2007,Aug,n,M
470,2007.08.12,2007,Unprovoked,usa,15, ,12-Aug-2007,Aug,n,F
471,2007.08.07,2007,Unprovoked,usa,19,Possibly a 10' bull shark,07-Aug-2007,Aug,n,F
472,2007.07.19.b,2007,Unprovoked,usa,36, ,19-Jul-2007.b,Jul,n,M
473,2007.07.19.a,2007,Unprovoked,australia,15,"Bronze whaler shark, 1.5 m ",19-Jul-2007.a,Jul,n,M
474,2007.07.18.b,2007,Unprovoked,usa,14,2' to 3' shark,18-Jul-2007,Jul,n,M
475,2007.07.17.b,2007,Invalid,usa,43,Shark involvement not confirmed,17-Jul-2007,Jul,,F
476,2007.07.17.a,2007,Unprovoked,usa,30,5' shark,17-Jul-2007,Jul,n,F
477,2007.07.10,2007,Unprovoked,bahamas,48,"Bull shark, 5' ",10-Jul-2007,Jul,n,F
478,2007.06.25,2007,Unprovoked,usa,20,4' shark,25-Jun-2007,Jun,n,M
479,2007.06.17,2007,Invalid,usa,9,Shark involvement not confirmed,17-Jun-2007,Jun,,F
480,2007.05.24,2007,Provoked,usa,40,A 10-year-old 94-pound pregnant blacktip reef shark,24-May-2007,May,n,F
481,2007.05.17.R,2007,Provoked,england,38,"Lesser spotted dogfish, Scyliorhinus canicula, less than 80 cm in length",Reported 17-May-2007,ReportedMay,n,M
482,2007.05.16,2007,Unprovoked,australia,38,2.5 m shark,16-May-2007,May,n,F
483,2007.05.12,2007,Unprovoked,australia,19,10' shark,12-May-2007,May,n,M
484,2007.05.10,2007,Unprovoked,usa,21,4' to 5' shark,10-May-2007,May,n,F
485,2007.05.08,2007,Invalid,australia,45,Shark involvement prior to death was not confirmed,08-May-2007,May,,M
486,2007.05.07.b,2007,Unprovoked,usa,63,"Tiger shark, 14' ",07-May-2007,May,n,F
487,2007.05.07.a,2007,Unprovoked,usa,68,6' to 8' shark,07-May-2007,May,n,M
488,2007.04.26,2007,Unprovoked,australia,13,"""a small shark""",26-Apr-2007,Apr,n,F
489,2007.04.22,2007,Unprovoked,usa,12,blacktip or spinner shark,22-Apr-2007,Apr,n,M
490,2007.04.20,2007,Unprovoked,usa,24,3' to 4' shark,20-Apr-2007,Apr,n,M
491,2007.04.09,2007,Unprovoked,new caledonia,26,Tiger shark,09-Apr-2007,Apr,n,M
492,2007.03.31.b,2007,Unprovoked,usa,27,3' shark,31-Mar-2007,Mar,n,M
493,2007.03.21,2007,Unprovoked,usa,11,4' to 5' shark,21-Mar-2007,Mar,n,M
494,2007.03.20,2007,Unprovoked,australia,42,1.5 m shark,20-Mar-2007,Mar,n,F
495,2007.03.12,2007,Unprovoked,australia,59,2 to 2.5 m shark,12-Mar-2007,Mar,n,F
496,2007.01.25.b,2007,Unprovoked,new caledonia,30,Tiger shark,25-Jan-2007,Jan,n,M
497,2007.01.23,2007,Unprovoked,australia,41,"White shark, 3m",23-Jan-2007,Jan,n,M
498,2007.01.14,2007,Unprovoked,south africa,24,Tiger shark,14-Jan-2007,Jan,y,M
499,2007.01.07,2007,Invalid,usa,54,"24"" to 30"" shark",07-Jan-2007,Jan,,M
500,2007.01.05,2007,Unprovoked,usa,24,"6' to 8' shark, possibly a tiger shark",01-Jan-2007,Jan,n,M
501,2006.12.18,2006,Unprovoked,australia,25,2.5 to 3 m shark,18-Dec-2006,Dec,n,M
502,2006.12.11,2006,Unprovoked,new zealand,10,2 to 3 m shark,11-Dec-2006,Dec,n,M
503,2006.12.10,2006,Unprovoked,usa,43,"White shark, 12' to 15' ",10-Dec-2006,Dec,n,M
504,2006.12.06,2006,Provoked,south africa,25,"Raggedtooth shark, 150-kg",06-Dec-2006,Dec,n,M
505,2006.12.02,2006,Unprovoked,australia,15,"White shark, 5m ",02-Dec-2006,Dec,n,M
506,2006.11.11,2006,Unprovoked,usa,29,2 m to 3 m shark,11-Nov-2006,Nov,n,M
507,2006.10.31,2006,Unprovoked,usa,22,"White shark, 16' ",31-Oct-2006,Oct,n,M
508,2006.10.05,2006,Unprovoked,usa,18,3' to 3.5' shark,05-Oct-2006,Oct,n,M
509,2006.09.14,2006,Unprovoked,usa,55,Spinner shark,14-Sep-2006,Sep,n,M
510,2006.09.04,2006,Invalid,australia,44,No shark involvement,04-Sep-2006,Sep,,M
511,2006.09.03.a,2006,Unprovoked,usa,33,3' shark,03-Sep-2006,Sep,n,M
512,2006.08.13,2006,Unprovoked,south africa,24,White shark,13-Aug-2006,Aug,n,M
513,2006.07.31.a,2006,Unprovoked,usa,41,White shark?,31-Jul-2006,Jul,n,M
514,2006.07.28,2006,Unprovoked,south africa,19,"White shark, 3m to 4m",28-Jul-2006,Jul,n,M
515,2006.07.25,2006,Unprovoked,usa,14, ,25-Jul-2006,Jul,n,M
516,2006.07.17,2006,Unprovoked,usa,49,"Angel shark, 1.2m ",17-Jul-2006,Jul,n,M
517,2006.07.08.b,2006,Unprovoked,usa,14,5' to 6' spinner or bull shark,08-Jul-2006,Jul,n,F
518,2006.06.20,2006,Unprovoked,usa,22,Possibly a 1' to 3' blacktip or spinner shark,20-Jun-2006,Jun,n,F
519,2006.06.15,2006,Unprovoked,usa,24,2' to 3' shark,15-Jun-2006,Jun,n,M
520,2006.06.07,2006,Unprovoked,usa,7,3' to 4' shark,07-Jun-2006,Jun,n,F
521,2006.06.05,2006,Unprovoked,australia,40,14' white shark,05-Jun-2006,Jun,n,M
522,2006.05.31,2006,Unprovoked,usa,26,"Tiger shark, 8' to 12'",31-May-2006,May,n,M
523,2006.05.24,2006,Provoked,usa,15,"Grey reef shark, 5' to 8' ",24-May-2006,May,n,M
524,2006.05.19,2006,Unprovoked,usa,30s,"Tiger shark, 10' to 12'",19-May-2006,May,n,F
525,2006.05.02,2006,Provoked,australia,46,"Wobbegong shark, 2 m ",02-May-2006,May,n,M
526,2006.04.13,2006,Provoked,usa,35,"Bull shark, 4' to bull shark",13-Apr-2006,Apr,n,M
527,2006.04.11,2006,Unprovoked,australia,15,"Bronze whaler shark, a  juvenile ",11-Apr-2006,Apr,n,M
528,2006.04.09.b,2006,Unprovoked,south africa,15,"Raggedtooth shark, 2.5 m to 3 m ",09-Apr-2006,Apr,n,M
529,2006.04.09.a,2006,Unprovoked,brazil,35,Tiger shark,09-Apr-2006,Apr,n,M
530,2006.03.23,2006,Unprovoked,usa,28,"Tiger shark, 10'  ",23-Mar-2006,Mar,n,F
531,2006.03.19,2006,Unprovoked,fiji,21,"Tiger shark, 5' ",18-Mar-2006,Mar,n,M
532,2006.03.15,2006,Unprovoked,australia,15,"Bronze whaler shark, 2 m",15-Mar-2006,Mar,n,M
533,2006.02.27,2006,Unprovoked,usa,15,5' to 7' shark,27-Feb-2006,Feb,n,F
534,2006.02.23,2006,Invalid,usa,45,Invalid,23-Feb-2006,Feb,,M
535,2006.02.08,2006,Unprovoked,south africa,15,Raggedtooth shark,08-Feb-2006,Feb,n,M
536,2006.02.01.b,2006,Unprovoked,tonga,24,Tiger shark,01-Feb-2006,Feb,y,F
537,2006.02.01.a,2006,Boating,usa,57,12' to 18' shark,01-Feb-2006,Feb,n,M
538,2006.01.15,2006,Unprovoked,australia,52,3.5 m white shark,15-Jan-2006,Jan,n,M
